LOCAL,SEXO,IDADE,ANO,Previsao,Lower_95,Upper_95
Amazonas,Homens,40-44,2065,0.0019599888160946,0.0016840922433314,0.002255770356883
Amazonas,Homens,45-49,2065,0.0018298916708931,0.0015424030877098,0.0019620648434482
Amazonas,Homens,50-54,2065,0.0055372244510923,0.0051728835662029,0.0059078403775957
Amazonas,Homens,55-59,2065,0.0066735830913313,0.0063351275865285,0.0069916492833152
Amazonas,Homens,60-64,2065,0.0143199123919144,0.0133943159731445,0.0146209955764099
Amazonas,Homens,65-69,2065,0.0163468483027981,0.0154966225670213,0.0178025420298546
Amazonas,Homens,70-74,2065,0.0234318553361779,0.0215604288171331,0.0244560050261563
Amazonas,Homens,75-79,2065,0.035250159434209,0.0325657386972713,0.036326575619303
Amazonas,Homens,80-84,2065,0.0507934108953234,0.0475905388507529,0.0529334934337602
Amazonas,Homens,85-89,2065,0.140298507999595,0.132608318426259,0.14339074927517
Amazonas,Homens,90+,2065,0.210824363571583,0.202528838002973,0.2143514516024
Amazonas,Homens,0,2066,0.0084972021107182,0.0051553234952139,0.0106781922602862
Amazonas,Homens,1-4,2066,0.000358980002546,0.0002755039777831,0.000461847936567
Amazonas,Homens,5-9,2066,9.14384587765824e-05,4.60582310922536e-05,0.000130564956134
Amazonas,Homens,10-14,2066,0.0002942246965022,0.0002604000325576,0.0003281730013637
Amazonas,Homens,15-19,2066,0.0019638040216697,0.0018442563163985,0.0021287851965195
Amazonas,Homens,20-24,2066,0.005812998927601,0.0055961625318819,0.0059719168974045
Amazonas,Homens,25-29,2066,0.0032432135608448,0.0031195545121216,0.0033588989698266
Amazonas,Homens,30-34,2066,0.0044944229487109,0.0043665305327262,0.0046379199476146
Amazonas,Homens,35-39,2066,0.0028290471793615,0.002593150196279,0.0029974829907957
Amazonas,Homens,40-44,2066,0.0019402615691839,0.0016643649964206,0.0022360431099722
Amazonas,Homens,45-49,2066,0.0017958392722144,0.001508350689031,0.0019280124447694
Amazonas,Homens,50-54,2066,0.0055166166218906,0.0051522757370012,0.0058872325483939
Amazonas,Homens,55-59,2066,0.0066222807236458,0.006283825218843,0.0069403469156296
Amazonas,Homens,60-64,2066,0.0142985163492573,0.0133729199304874,0.0145995995337528
Amazonas,Homens,65-69,2066,0.0162479808090523,0.0153977550732755,0.0177036745361088
Amazonas,Homens,70-74,2066,0.0233034797389526,0.0214320532199078,0.024327629428931
Amazonas,Homens,75-79,2066,0.0349909578902142,0.0323065371532764,0.0360673740753082
Amazonas,Homens,80-84,2066,0.0502646008762771,0.0470617288317066,0.052404683414714
Amazonas,Homens,85-89,2066,0.140298507999627,0.132608318426291,0.143390749275202
Amazonas,Homens,90+,2066,0.210824363571583,0.202528838002973,0.2143514516024
Amazonas,Homens,0,2067,0.0084672001904313,0.005125321574927,0.0106481903399992
Amazonas,Homens,1-4,2067,0.000355014719869,0.000271538695106,0.0004578826538899
Amazonas,Homens,5-9,2067,8.99534965718069e-05,4.45732688874781e-05,0.0001290799939293
Amazonas,Homens,10-14,2067,0.0002934251113002,0.0002596004473556,0.0003273734161618
Amazonas,Homens,15-19,2067,0.0019615542558364,0.0018420065505652,0.0021265354306861
Amazonas,Homens,20-24,2067,0.0058888007178549,0.0056719643221358,0.0060477186876584
Amazonas,Homens,25-29,2067,0.0032432135608448,0.0031195545121216,0.0033588989698266
Amazonas,Homens,30-34,2067,0.0045367463515206,0.0044088539355359,0.0046802433504243
Amazonas,Homens,35-39,2067,0.0028227099809027,0.0025868129978202,0.0029911457923369
Amazonas,Homens,40-44,2067,0.0019210510893542,0.001645154516591,0.0022168326301426
Amazonas,Homens,45-49,2067,0.0017627025739723,0.001475213990789,0.0018948757465273
Amazonas,Homens,50-54,2067,0.0055018549807241,0.0051375140958347,0.0058724709072275
Amazonas,Homens,55-59,2067,0.0065720500475949,0.0062335945427921,0.0068901162395787
Amazonas,Homens,60-64,2067,0.0142775709092532,0.0133519744904833,0.0145786540937487
Amazonas,Homens,65-69,2067,0.0161508951220394,0.0153006693862626,0.0176065888490958
Amazonas,Homens,70-74,2067,0.0231776572851197,0.021306230766075,0.0242018069750982
Amazonas,Homens,75-79,2067,0.0347359222476661,0.0320515015107284,0.0358123384327601
Amazonas,Homens,80-84,2067,0.0497421603197585,0.046539288275188,0.0518822428581954
Amazonas,Homens,85-89,2067,0.140298507999646,0.13260831842631,0.143390749275221
Amazonas,Homens,90+,2067,0.210824363571583,0.202528838002973,0.2143514516024
Amazonas,Homens,0,2068,0.0084390374648712,0.0050971588493669,0.0106200276144391
Amazonas,Homens,1-4,2068,0.0003512179986011,0.0002677419738381,0.000454085932622
Amazonas,Homens,5-9,2068,8.85359541501657e-05,4.31557264658369e-05,0.0001276624515076
Amazonas,Homens,10-14,2068,0.0002926543951424,0.0002588297311977,0.0003266027000039
Amazonas,Homens,15-19,2068,0.0019593156938442,0.001839767988573,0.002124296868694
Amazonas,Homens,20-24,2068,0.0059666504686567,0.0057498140729376,0.0061255684384602
Amazonas,Homens,25-29,2068,0.0032432135608448,0.0031195545121216,0.0033588989698266
Amazonas,Homens,30-34,2068,0.0045798963560797,0.0044520039400949,0.0047233933549833
Amazonas,Homens,35-39,2068,0.0028164746821302,0.0025805776990477,0.0029849104935644
Amazonas,Homens,40-44,2068,0.0019023438392743,0.001626447266511,0.0021981253800626
Amazonas,Homens,45-49,2068,0.0017304569507796,0.0014429683675963,0.0018626301233347
