Ano,faixa_etaria,nMx,Local,sexo,ax,n,nqx,lx,dx,Lx,Tx,ex
2052,1-4,0.0005883617229846,Nordeste,Homens,1.68736595607995,4,0.002350248989573,98723.76375660184,232.02542601579893,394431.0041743758,7333741.141862099,74.28546950400965
2052,5-9,0.0001062023018446,Nordeste,Homens,2.5,5,0.0005308705600344,98491.73833058604,52.28636428632034,492327.9757422144,6939310.137687723,70.45575857739492
2052,10-14,0.0001664242842186,Nordeste,Homens,2.5,5,0.000831775352049,98439.45196629972,81.87950981478278,491992.56105696165,6446982.161945509,65.49185345071407
2052,15-19,0.0009984520528161,Nordeste,Homens,2.5,5,0.0049798299604639,98357.57245648494,489.803986157304,490563.35231703136,5954989.600888548,60.54429213900268
2052,20-24,0.0024281247983686,Nordeste,Homens,2.5,5,0.0120673712831835,97867.76847032765,1181.0066987880905,486386.325604668,5464426.248571516,55.83478947134946
2052,25-29,0.0030580297137534,Nordeste,Homens,2.5,5,0.0151741411326065,96686.76177153956,1467.1385687760474,479765.9624357576,4978039.922966848,51.48626173590778
2052,30-34,0.0030945929230996,Nordeste,Homens,2.5,5,0.0153541772945092,95219.6232027635,1462.018976571599,472443.0685723885,4498273.96053109,47.24103928611786
2052,35-39,0.0032887368065466,Nordeste,Homens,2.5,5,0.0163095891672485,93757.60422619188,1529.1480062346718,464965.1511153728,4025830.891958702,42.93871334688025
2052,40-44,0.0042418674888081,Nordeste,Homens,2.5,5,0.0209867795988529,92228.45621995722,1935.578283430704,456303.3353912094,3560865.740843329,38.60918730278819
2052,45-49,0.0055515365984965,Nordeste,Homens,2.5,5,0.0273777120661866,90292.87793652652,2472.0124137735606,445284.35864819866,3104562.40545212,34.38324789729865
2052,50-54,0.0048718983611222,Nordeste,Homens,2.5,5,0.0240663695398132,87820.86552275297,2113.529402976816,433820.5041063228,2659278.046803921,30.28070870145256
2052,55-59,0.0079003031797533,Nordeste,Homens,2.5,5,0.0387364418127035,85707.33611977616,3319.9972385255364,420236.68750256696,2225457.542697598,25.96577660035446
2052,60-64,0.0118314917267902,Nordeste,Homens,2.5,5,0.0574579261881178,82387.33888125062,4733.805636274354,400102.1803155672,1805220.855195031,21.911386867307304
2052,65-69,0.0185282292814385,Nordeste,Homens,2.5,5,0.0885399262709193,77653.53324497626,6875.438108186585,371079.0709544149,1405118.674879464,18.094716571964444
2052,70-74,0.0229404846833743,Nordeste,Homens,2.5,5,0.1084809116845284,70778.09513678968,7678.07228773323,334695.2949646153,1034039.6039250492,14.609599225955526
2052,75-79,0.0380199951907672,Nordeste,Homens,2.5,5,0.1735993589708556,63100.02284905645,10954.123517642542,288114.8054511759,699344.3089604337,11.083107063738428
2052,80-84,0.067192723214735,Nordeste,Homens,2.5,5,0.2876445624083548,52145.89933141391,14999.484394574674,223230.78567063285,411229.5035092578,7.886133114622947
2052,85-89,0.1290292107023153,Nordeste,Homens,2.5,5,0.4877961673648301,37146.41493683923,18119.87883753385,140432.37759036152,187998.71783862496,5.06101916317585
2052,90+,0.2128353489090562,Nordeste,Homens,2.5,5,1.0,19026.536099305376,19026.536099305376,47566.34024826344,47566.34024826344,2.5
2053,0,0.0128394105074668,Nordeste,Homens,0.079460977802041,1,0.0126894318487264,100000.0,1268.9431848726465,99365.52840756367,7441722.7153566545,74.41722715356654
2053,1-4,0.0005883617229846,Nordeste,Homens,1.6871557799890269,4,0.0023502486993371,98731.05681512736,232.0425378639399,394460.1421847815,7342357.186949091,74.36725002040201
2053,5-9,0.0001026673862276,Nordeste,Homens,2.5,5,0.000513205207545,98499.0142772634,50.55020706515064,492368.6958686542,6947897.044764309,70.53773173005342
2053,10-14,0.0001613231546801,Nordeste,Homens,2.5,5,0.0008062905900467,98448.46407019829,79.37807018435738,492043.8751755304,6455528.348895655,65.57266697723763
2053,15-19,0.0009650204656098,Nordeste,Homens,2.5,5,0.0048134895382606,98369.08600001392,473.49856634932905,490661.6835841962,5963484.473720125,60.62356291202382
2053,20-24,0.0023999450893196,Nordeste,Homens,2.5,5,0.0119281581352449,97895.58743366458,1167.714047651452,486558.6520491943,5472822.790135928,55.90469329217101
2053,25-29,0.0030580297137534,Nordeste,Homens,2.5,5,0.0151741411326065,96727.87338601312,1467.7624022162588,479969.960924525,4986264.138086734,51.54940311969837
2053,30-34,0.0030945929230996,Nordeste,Homens,2.5,5,0.0153541772945092,95260.11098379688,1462.6406331398466,472643.9533361347,4506294.1771622095,47.30515354877869
