LOCAL,SEXO,IDADE,RMSE,MAE,sMAPE
Acre,Homens,55-59,0.001472054429185,0.0014370400805435,12.8033991220311
Acre,Homens,60-64,0.0009593623711971,0.0007678288737029,4.81605417486761
Acre,Homens,65-69,0.0024352611822105,0.0020457279734437,8.67119345331482
Acre,Homens,70-74,0.0008825517011281,0.0008189464024505,2.48958175506359
Acre,Homens,75-79,0.0028225298105839,0.0027273962912649,5.12844357519542
Acre,Homens,80-84,0.0061041797251511,0.0059792365285299,6.89581559878438
Acre,Homens,85-89,0.0092100826728847,0.0087811748881514,6.41258881569158
Acre,Homens,90+,0.0253554162549548,0.025056542717437,11.774455302718
Acre,Ambos,0,0.0024659599843812,0.0019521078639276,11.8620728509243
Acre,Ambos,1-4,4.12473303150474e-05,3.7095349132945e-05,4.27727857437282
Acre,Ambos,5-9,9.38108638471435e-05,6.39965606995801e-05,17.5141031127476
Acre,Ambos,10-14,4.63550353471345e-05,3.93547161696946e-05,10.4545807697504
Acre,Ambos,15-19,0.0003579508805638,0.0003015647330303,21.8507911921221
Acre,Ambos,20-24,0.0003185493707653,0.0002793994460331,16.5990262754964
Acre,Ambos,25-29,0.0002624278401826,0.0002513054516042,13.5076092798387
Acre,Ambos,30-34,0.0001491704664317,0.0001458083835853,7.07841797600434
Acre,Ambos,35-39,0.000283065578324,0.0002721826350051,11.3626479404637
Acre,Ambos,40-44,0.0004625866206222,0.0004024780474847,13.5979628803597
Acre,Ambos,45-49,0.0001570934959222,0.0001263025481399,2.97531524446705
Acre,Ambos,50-54,0.0005791677084516,0.0004898264660652,8.1035160397052
Acre,Ambos,55-59,0.0011611168316263,0.001151821134743,12.7112129474749
Acre,Ambos,60-64,0.0008318014571094,0.0007164914438345,5.60378140163376
Acre,Ambos,65-69,0.0020723090440811,0.0017960489308646,8.963697825023
Acre,Ambos,70-74,0.0006638891374021,0.0005641135222959,2.08136906862448
Acre,Ambos,75-79,0.0012166904460099,0.0011121717748436,2.47536820732234
Acre,Ambos,80-84,0.0013897611640311,0.0009806616215241,1.30497078158618
Acre,Ambos,85-89,0.004274520494255,0.0038894193952565,3.12420265139706
Acre,Ambos,90+,0.0164749774640796,0.0163156471334901,8.33085898675434
Amazonas,Mulheres,0,0.0011517386620231,0.0008694794994743,5.84632808776689
Amazonas,Mulheres,1-4,8.98794149796411e-05,8.60020798689492e-05,10.6421051122214
Amazonas,Mulheres,5-9,9.2608949004048e-05,9.18981921794818e-05,29.7653432605441
Amazonas,Mulheres,10-14,5.49219707939726e-05,4.85929081769392e-05,14.9044279273888
Amazonas,Mulheres,15-19,1.617028798402e-05,9.47155770739553e-06,1.5992109860132
Amazonas,Mulheres,20-24,2.47490035019308e-05,2.08696662231654e-05,3.3906229300065
Amazonas,Mulheres,25-29,6.5513971455282e-05,6.26485654321919e-05,8.25210038695785
Amazonas,Mulheres,30-34,0.0001347045683489,0.0001328473013294,12.9737251120171
Amazonas,Mulheres,35-39,7.00923266978472e-05,6.07811191403709e-05,4.59679327276144
Amazonas,Mulheres,40-44,0.0002594363433212,0.0002432415427463,11.9898733984602
Amazonas,Mulheres,45-49,0.000301483370373,0.0002838372060308,10.1201728938054
Amazonas,Mulheres,50-54,0.0001270782291675,0.0001232265946162,3.0831464644847
Amazonas,Mulheres,55-59,0.0003736212102963,0.0003236482393611,5.39001171698195
Amazonas,Mulheres,60-64,0.0007143585310802,0.0006669974503507,7.04335160247826
Amazonas,Mulheres,65-69,0.0009091525724047,0.0007798195847718,5.2307721876673
Amazonas,Mulheres,70-74,0.0013985117012227,0.0013747274465739,6.48584937950084
Amazonas,Mulheres,75-79,0.0025651431463862,0.0025632025969171,6.80595725152843
Amazonas,Mulheres,80-84,0.0054307371465483,0.0053783459562525,8.190599693297
Amazonas,Mulheres,85-89,0.0046322006566652,0.0045067651431897,3.96821284705397
Amazonas,Mulheres,90+,0.0045866060828459,0.0044540522136276,2.45171864480409
Amazonas,Homens,0,0.0013653978111133,0.0011912452464326,6.57325803897564
Amazonas,Homens,1-4,0.000173232891061,0.0001720253650662,18.1830161650033
Amazonas,Homens,5-9,2.52867228706998e-05,1.4465708120217e-05,4.36276273049858
Amazonas,Homens,10-14,6.15921882080798e-05,5.07334286401683e-05,11.2211712506599
Amazonas,Homens,15-19,2.07676969558522e-05,1.92061018237693e-05,0.944056099815183
Amazonas,Homens,20-24,0.0003327433530383,0.0003297767410007,10.1480775781412
Amazonas,Homens,25-29,0.0001299102031284,0.0001003547620733,3.06096596703271
Amazonas,Homens,30-34,6.1992927368481e-05,4.35724826265954e-05,1.41082607959956
Amazonas,Homens,35-39,0.0002131031060808,0.0001811539161272,5.64021558993088
Amazonas,Homens,40-44,0.000533042931661,0.0005146508617751,14.2303838313586
Amazonas,Homens,45-49,0.0006480647339065,0.0006469250626066,13.2416270698432
Amazonas,Homens,50-54,0.0005369010493746,0.0005302251207697,7.62851646404157
Amazonas,Homens,55-59,0.0003140959068881,0.0002941330394927,2.90138814241919
Amazonas,Homens,60-64,0.0013296019877391,0.0012967662432527,8.18744620633138
Amazonas,Homens,65-69,0.0009329545495044,0.0006589232167286,2.906845427959
Amazonas,Homens,70-74,0.0016573470318353,0.0015940785296313,4.86617388552329
Amazonas,Homens,75-79,0.00330503068866,0.0032646463436108,6.18668827254622
Amazonas,Homens,80-84,0.0030727550399201,0.0026422931653077,3.15814957640994
Amazonas,Homens,85-89,0.0076811299497379,0.0074611613519258,5.52256246340519
Amazonas,Homens,90+,0.0106805574197607,0.0097780266213504,4.60251280431752
Amazonas,Ambos,0,0.0011914700220351,0.0007811395535479,4.6635859235401
Amazonas,Ambos,1-4,0.0001178129140787,0.0001155995798658,13.2735402712354
Amazonas,Ambos,5-9,5.01180601801399e-05,4.90830825516868e-05,14.6631913752028
Amazonas,Ambos,10-14,3.13997726925444e-05,2.82990453108477e-05,7.35302613662739
Amazonas,Ambos,15-19,1.56548729220453e-05,1.12352855928682e-05,0.839694188496683
Amazonas,Ambos,20-24,0.0001580159221279,0.000154684542482,7.96633521166885
Amazonas,Ambos,25-29,8.07438935418511e-05,6.38440252078862e-05,3.15030050729596
Amazonas,Ambos,30-34,5.66199917730622e-05,5.03560823449984e-05,2.48304144632733
Amazonas,Ambos,35-39,0.0001273470116448,0.0001109779555276,4.92210423205908
Amazonas,Ambos,40-44,0.0003755304143555,0.0003510168259271,12.4818398128348
Amazonas,Ambos,45-49,0.0004466160929059,0.0004404229410749,11.4676809256951
Amazonas,Ambos,50-54,0.0004529006048132,0.0004499278155939,8.14954897322988
Amazonas,Ambos,55-59,0.0003291573699738,0.0003071217296813,3.7891730420645
Amazonas,Ambos,60-64,0.0007748206636187,0.0007692049302373,6.09627568610958
Amazonas,Ambos,65-69,0.0006244833326122,0.0005582454833088,2.95946998497926
Amazonas,Ambos,70-74,0.001448848405859,0.0014143357487492,5.28817981728218
Amazonas,Ambos,75-79,0.0028519703837532,0.0028376962813002,6.34593795860239
Amazonas,Ambos,80-84,0.0042530558451741,0.0042358885936758,5.74969007961037
Amazonas,Ambos,85-89,0.0055806028180919,0.0054127896806232,4.41889016383143
Amazonas,Ambos,90+,0.0073002321958647,0.0070462097582653,3.65406220312741
Roraima,Mulheres,0,0.0090282894632879,0.0081378161014002,55.9514363438899
Roraima,Mulheres,1-4,0.0001051739688012,7.9463008648558e-05,8.96192105372414
Roraima,Mulheres,5-9,0.0001993098774101,0.000143291282443,36.1936569786008
Roraima,Mulheres,10-14,0.000228006918107,0.0002049761912769,47.3977229396296
Roraima,Mulheres,15-19,0.0003404225832182,0.0002997948325625,36.030897500383
Roraima,Mulheres,20-24,0.000148494666402,0.0001257604610885,13.7269936400271
Roraima,Mulheres,25-29,0.0001170805341463,0.0001023530970447,10.1999089544719
Roraima,Mulheres,30-34,0.000244956301953,0.0002107422221119,22.5972713749492
Roraima,Mulheres,35-39,0.0002871791257058,0.0002718616690172,21.6961103641941
Roraima,Mulheres,40-44,0.0004381205976031,0.0003442899000835,16.4545290456682
Roraima,Mulheres,45-49,0.000263462219025,0.0002180012482048,8.18098995063149
Roraima,Mulheres,50-54,0.0010348816672329,0.0009936245938567,23.0349251966255
Roraima,Mulheres,55-59,0.0003894076378219,0.0002945894425105,4.21925715000676
Roraima,Mulheres,60-64,0.0024612408470521,0.0020124757132252,21.270259225302
Roraima,Mulheres,65-69,0.0019523733168783,0.0018969942254097,11.8228012071178
Roraima,Mulheres,70-74,0.000508185379686,0.0004100282569859,1.88918606364305
Roraima,Mulheres,75-79,0.0009667504292767,0.000847641898258,2.24876416084049
Roraima,Mulheres,80-84,0.002138100637019,0.0020278963924116,3.05861932143046
Roraima,Mulheres,85-89,0.009263642045783,0.0088927592742352,7.59485837321344
Roraima,Mulheres,90+,0.0379697041331812,0.0374493697490436,19.5932765571207
Roraima,Homens,0,0.0022302225708364,0.0021651495448346,10.7262505327304
Roraima,Homens,1-4,0.000309149564922,0.0002270847594227,17.4385784094
Roraima,Homens,5-9,0.0002469708528937,0.000243565702267,63.2135243309526
Roraima,Homens,10-14,3.816393111698e-05,2.7729175431553e-05,5.2949393242119
Roraima,Homens,15-19,0.0003947592508282,0.000349387288799,17.5449309166151
Roraima,Homens,20-24,0.0008232880753293,0.0007482591005792,25.6753580381856
Roraima,Homens,25-29,0.0002268248830887,0.0002032268168691,6.67502731920499
Roraima,Homens,30-34,0.0003211816294115,0.0002086235188977,6.43115829678069
Roraima,Homens,35-39,0.0001620059478028,0.0001537574095869,4.31038413158684
Roraima,Homens,40-44,0.0010341317722307,0.0008997090382249,24.5800297600087
Roraima,Homens,45-49,0.0002784911014036,0.0002280834710799,4.53151080874541
Roraima,Homens,50-54,0.0009453241023784,0.0009224367841024,12.5511195166244
Roraima,Homens,55-59,0.0004172518097563,0.0003311947610531,3.09351672034055
Roraima,Homens,60-64,0.0030502822531965,0.0029809004255516,18.8213978846958
Roraima,Homens,65-69,0.0006316915082772,0.0006166038274017,2.64558404204066
Roraima,Homens,70-74,0.0019740009971538,0.0015934078029315,4.92627706374044
Roraima,Homens,75-79,0.0013148359954561,0.0011532874226937,2.20153532569328
Roraima,Homens,80-84,0.0027880269740456,0.0022331400522632,2.71744873560314
Roraima,Homens,85-89,0.0020606523582646,0.0020109876487748,1.54792433786137
Roraima,Homens,90+,0.0384117786625214,0.0366614405273614,17.1825208413872
Roraima,Ambos,0,0.0039904624869568,0.0034007038336394,18.6562866691731
Roraima,Ambos,1-4,0.0002059056408811,0.0001538305872714,13.8837842527605
Roraima,Ambos,5-9,0.0002484072537377,0.0002279789398773,63.8634298819271
Roraima,Ambos,10-14,0.0001145538434418,0.000103074387452,21.6731573928341
Roraima,Ambos,15-19,0.0004060744950776,0.0003843279256801,28.0784577810476
Roraima,Ambos,20-24,0.0004338554736707,0.000405109418283,21.3743003900479
Roraima,Ambos,25-29,0.0001350368193452,0.0001272275227316,6.32066517889057
Roraima,Ambos,30-34,0.000221279425522,0.0001594380075807,7.3789500404656
Roraima,Ambos,35-39,0.0001367180836794,0.00011631599437,4.84963265006742
Roraima,Ambos,40-44,0.0007555965064703,0.000589889401672,20.6258028376432
Roraima,Ambos,45-49,0.0003146071241668,0.0003024592227371,8.40199142461157
Roraima,Ambos,50-54,0.0005711890607421,0.0004788726668615,8.47438470107144
