idade,Sexo,Ano,regiao,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex,faixa_etaria
45,Homens,2048,Centro-Oeste,0.00295529760651526,2.6308401492398,0.0146737487180135,94615.9585557409,1388.37080056092,469790.520420048,0.982732600817995,3436385.37828905,36.3192999441482,45-49
50,Homens,2048,Centro-Oeste,0.00411479206948841,2.65254866712868,0.0203771320430951,93227.58775518,1899.71086574654,461678.459972033,0.974519070656031,2966594.857869,31.8209977250448,50-54
55,Homens,2048,Centro-Oeste,0.0064043719962995,2.66610850045502,0.0315502745769913,91327.8768894334,2881.41959239529,449914.463753854,0.961039889849299,2504916.39789697,27.4277305376272,55-59
60,Homens,2048,Centro-Oeste,0.00973719243529727,2.66127844560577,0.0476019430335956,88446.4572970382,4210.22322177695,432385.74668761,0.940194979166108,2055001.93414311,23.2344177137769,60-64
65,Homens,2048,Centro-Oeste,0.0153097418014034,2.64545607480463,0.0738853305425897,84236.2340752612,6223.82199831364,406526.908098679,0.910526140513348,1622616.1874555,19.262686719895,65-69
70,Homens,2048,Centro-Oeste,0.0228109207644418,2.64213999313425,0.108233281353129,78012.4120769476,8443.53934536052,370153.376645915,0.862207032177458,1216089.27935682,15.5884076261779,70-74
75,Homens,2048,Centro-Oeste,0.0380488370273587,2.63691455162332,0.174549937184843,69568.872731587,12143.2423653188,319148.844328339,0.778799073207945,845935.902710909,12.1596896642947,75-79
80,Homens,2048,Centro-Oeste,0.0643873780087282,2.589594101881,0.278685049575103,57425.6303662682,16003.664645505,248552.824178297,0.652103246040689,526787.05838257,9.17337876872492,80-84
85,Homens,2048,Centro-Oeste,0.111363094964982,2.50538430718828,0.43575828345125,41421.9657207632,18049.9646796563,162082.103459248,0.41746167964273,278234.234204273,6.71706978080001,85-89
90,Homens,2048,Centro-Oeste,0.201218874687825,4.96971271483065,1.0,23372.0010411069,23372.0010411069,116152.130745024,0.0,116152.130745024,4.96971271483065,90+
0,Ambos,2048,Centro-Oeste,0.00837451580458421,0.0705560279555147,0.00830983501351094,100000.0,830.983501351089,99227.6473938008,0.991046287769174,8108960.80234007,81.0896080234007,0
1,Ambos,2048,Centro-Oeste,0.00039529713997561,1.57064392488851,0.00157967157363264,99169.0164986489,156.65447634802,396295.496490786,0.998608677115194,8009733.15494627,80.7685044961134,1-4
5,Ambos,2048,Centro-Oeste,0.000172918013053783,2.33422366785848,0.000864191706814535,99012.3620223009,85.5656621317903,494833.711194549,0.999172590993491,7613437.65845548,76.8938090451845,5-9
10,Ambos,2048,Centro-Oeste,0.000185924445046813,2.71880121935575,0.000929228111141642,98926.7963601691,91.9255601230398,494424.281325183,0.998412810405893,7118603.94726093,71.9582985518279,10-14
15,Ambos,2048,Centro-Oeste,0.000495180660425483,2.81207615342569,0.00247322376802946,98834.8708000461,244.440751572809,493639.53625079,0.99663001540317,6624179.66593575,67.0226976806314,15-19
20,Ambos,2048,Centro-Oeste,0.000835689994894234,2.62569187515042,0.00417017557238145,98590.4300484733,411.139403058725,491975.978617238,0.995559477489527,6130540.12968496,62.1818986555876,20-24
25,Ambos,2048,Centro-Oeste,0.000912876467238091,2.52838723409347,0.0045541070086986,98179.2906454145,447.118995637342,489791.348209576,0.995333980428589,5638564.15106772,57.4312985355743,25-29
30,Ambos,2048,Centro-Oeste,0.000966465123976386,2.54883238132365,0.00482090505000802,97732.1716497772,471.157519854649,487505.972192922,0.994756180239554,5148772.80285814,52.6824761585033,30-34
35,Ambos,2048,Centro-Oeste,0.00116521470924977,2.60119809984567,0.00580983436632205,97261.0141299225,565.070382395366,484949.578742602,0.993234692344455,4661266.83066522,47.9253365016186,35-39
40,Ambos,2048,Centro-Oeste,0.00158929887601499,2.6343093439726,0.00791672914495645,96695.9437475272,765.515596065117,481668.745644981,0.990535209493512,4176317.25192262,43.1902010577297,40-44
45,Ambos,2048,Centro-Oeste,0.00225575157396792,2.63780772491499,0.0112189773365857,95930.4281514621,1076.24129932022,477109.851873929,0.986750735157098,3694648.50627764,38.5138331754785,45-49
50,Ambos,2048,Centro-Oeste,0.00314976408326696,2.65156026144148,0.0156331812875301,94854.1868521418,1482.87269894079,470788.497087293,0.980618637397511,3217538.65440371,33.9208922787899,50-54
55,Ambos,2048,Centro-Oeste,0.00481853579721728,2.66577089716028,0.0238247089876208,93371.314153201,2224.54438749174,461663.974516163,0.970585390920498,2746750.15731642,29.4174948936632,55-59
60,Ambos,2048,Centro-Oeste,0.00732441450150582,2.66921266299656,0.0360073672439415,91146.7697657093,3281.95521205287,448084.309179681,0.954378172322732,2285086.18280025,25.0704022608153,60-64
65,Ambos,2048,Centro-Oeste,0.0116806664260905,2.6612900563332,0.0568503128662732,87864.8145536564,4995.14219731245,427641.884041398,0.930165551193454,1837001.87362057,20.9071388012635,65-69
70,Ambos,2048,Centro-Oeste,0.0178537247305161,2.66670712665591,0.0856985942957979,82869.672356344,7101.814430692,397777.748782774,0.888017732729363,1409359.98957917,17.0069453577522,70-74
75,Ambos,2048,Centro-Oeste,0.0310831691577677,2.6678984545723,0.144911351359328,75767.857925652,10979.6226816078,353233.694604269,0.811738215295325,1011582.2407964,13.3510735091525,75-79
