Local,Sexo,faixa_etaria,RMSE,MAPE,MAE
Acre,Mulheres,55-59,0.0031793991835478,64.95825984566015,0.0031732126268381
Acre,Mulheres,60-64,0.0007918984300339,7.716093473093094,0.0007414614329674
Acre,Mulheres,65-69,0.0018313222232278,11.059174794376954,0.0018151430614428
Acre,Mulheres,70-74,0.0066627624043688,36.82959793859212,0.0066449798884223
Acre,Mulheres,75-79,0.0088063351722565,26.26318355809071,0.0087709949210545
Acre,Mulheres,80-84,0.0113592119156081,18.30384152469601,0.0112514563730241
Acre,Mulheres,85-89,0.0025117202709898,2.1079226110385907,0.0024155598880319
Acre,Mulheres,90+,0.0030177241691166,1.3266542220894149,0.0024900597339501
Acre,Homens,0,0.0046409719710125,24.976198014699957,0.0041272163606939
Acre,Homens,1-4,0.0006808284638241,121.69233570391908,0.0006759516640329
Acre,Homens,5-9,0.0002771953477437,135.4120193090962,0.0002667703922327
Acre,Homens,10-14,0.0001461633002612,23.269652486804056,0.0001049824908631
Acre,Homens,15-19,0.000655320821789,26.70741678670633,0.000557572955579
Acre,Homens,20-24,0.0005128595864575,15.176395095601688,0.0004236111805202
Acre,Homens,25-29,0.002183713135299,106.35282002307692,0.0021703132189361
Acre,Homens,30-34,0.0020529163706826,103.6805008745981,0.0020444563093018
Acre,Homens,35-39,0.0019128205558683,82.01334763185764,0.0019098317807664
Acre,Homens,40-44,0.0023385746614741,84.67977291733536,0.0023132845593098
Acre,Homens,45-49,0.0028352141032956,69.08472783092449,0.0028200432657533
Acre,Homens,50-54,0.0040167875095822,70.1498733937421,0.0039652841985509
Acre,Homens,55-59,0.0011350119840124,9.098526191528729,0.0010131830335178
Acre,Homens,60-64,0.0070264795918194,56.4727976182072,0.0069622804916548
Acre,Homens,65-69,0.0016371447582092,6.43469839396606,0.001505746484882
Acre,Homens,70-74,0.0008368207415943,2.3228341427400325,0.0007538349195319
Acre,Homens,75-79,0.0006619085631926,0.9582035242237792,0.0004965781041787
Acre,Homens,80-84,0.001245289514299,1.2476423464271402,0.001041029881401
Acre,Homens,85-89,0.0076127230109585,4.97943092293658,0.0068074949682308
Acre,Homens,90+,0.0208094790221113,9.305514704641809,0.019855468748373
Alagoas,Ambos,0,0.0032051533016855,25.51797976093769,0.003157603778653
Alagoas,Ambos,1-4,0.0004880820524847,132.5071888304086,0.000486911661074
Alagoas,Ambos,5-9,0.0002309891369434,140.64626564504442,0.0002302117994314
Alagoas,Ambos,10-14,6.2953850344591e-05,13.86417194319278,5.832858026022449e-05
Alagoas,Ambos,15-19,0.0012851159422062,101.15621634602778,0.0012516691461808
Alagoas,Ambos,20-24,0.0001140514123518,4.163086013479635,9.367016950659328e-05
Alagoas,Ambos,25-29,0.00137955140258,93.8323883535523,0.0013607617537948
Alagoas,Ambos,30-34,0.0004737147002284,17.238712516260136,0.000402824117826
Alagoas,Ambos,35-39,0.0014844632119378,78.51492562749638,0.0014699734701937
Alagoas,Ambos,40-44,0.0019481480996379,78.51900527269099,0.0019396435267301
Alagoas,Ambos,45-49,0.0025696111109869,72.05281154428963,0.0025546047036131
Alagoas,Ambos,50-54,0.0032200485272783,61.70421322796196,0.0032160606996497
Alagoas,Ambos,55-59,0.0040991088503492,52.10895143095554,0.0040735816196194
Alagoas,Ambos,60-64,0.0057857423971932,49.05965127424974,0.0057749714648656
Alagoas,Ambos,65-69,0.0072905063942696,39.5054269972051,0.0072559940184085
Alagoas,Ambos,70-74,0.0083764450528916,32.67483737563484,0.0083250304569294
Alagoas,Ambos,75-79,0.0108644657518903,25.42574982688291,0.0108180955180132
Alagoas,Ambos,80-84,0.0018501983911,2.153461581039866,0.0016971929128731
Alagoas,Ambos,85-89,0.0028792181452212,1.8773373222039675,0.0024326590689992
Alagoas,Ambos,90+,0.0360429985985854,16.72567244644714,0.0357043694799553
Alagoas,Mulheres,0,0.0049475896613942,48.319053909309886,0.0049095022767395
Alagoas,Mulheres,1-4,0.0004358365861045,127.93311673425896,0.0004340556598482
Alagoas,Mulheres,5-9,3.22434253444686e-05,10.616722234506229,2.6876365869609435e-05
Alagoas,Mulheres,10-14,3.302659914942796e-05,9.13385133734708,2.595701779305896e-05
Alagoas,Mulheres,15-19,4.313832561773168e-05,6.032046331859699,3.477863062805555e-05
Alagoas,Mulheres,20-24,0.0004970992649196,118.9553946643058,0.000494331324894
Alagoas,Mulheres,25-29,0.0005495585900145,118.16576117158198,0.0005481387242882
Alagoas,Mulheres,30-34,0.0001889334881049,13.972577890231037,0.0001405380137514
Alagoas,Mulheres,35-39,0.0010167083044087,103.10850457241396,0.00101386867327
Alagoas,Mulheres,40-44,0.0013948422740696,94.6339777854752,0.0013943497204216
Alagoas,Mulheres,45-49,0.001999434592031,85.38706216723229,0.0019933516593824
Alagoas,Mulheres,50-54,0.0027121296803109,74.08698559682472,0.0027082110093344
Alagoas,Mulheres,55-59,0.0036193460698687,62.115463170490926,0.0035962449590159
Alagoas,Mulheres,60-64,0.0048866765323733,52.11888061415279,0.0048836414643274
Alagoas,Mulheres,65-69,0.0061906420344055,40.81489256737251,0.0061538742216124
Alagoas,Mulheres,70-74,0.0075977548142414,37.24968313338195,0.0075632916334005
Alagoas,Mulheres,75-79,0.0107684902403337,29.743180295534145,0.0107381231461408
Alagoas,Mulheres,80-84,0.002010404336405,2.688790429506503,0.0019353227302266
Alagoas,Mulheres,85-89,0.0042378389693368,3.2535028499466154,0.0039954379936069
Alagoas,Mulheres,90+,0.012435094311159,5.329143544316583,0.0119225609950184
Alagoas,Homens,0,0.0018873444345621,10.304135959241982,0.0015270501829745
Alagoas,Homens,1-4,0.0005055623344641,122.90759979531931,0.0005050921081206
Alagoas,Homens,5-9,0.0002475793746761,130.4989684559277,0.0002462607925713
Alagoas,Homens,10-14,0.0001203408786683,20.46326936819338,0.0001113888196386
Alagoas,Homens,15-19,0.0019945500615952,87.29801805029359,0.0019127795885342
Alagoas,Homens,20-24,0.002612875641928,91.6317881917536,0.0025797881746738
Alagoas,Homens,25-29,0.0021374587320899,79.9419852670477,0.0020907720105348
Alagoas,Homens,30-34,0.0007665513569013,17.940110384705193,0.0006773962797871
Alagoas,Homens,35-39,0.0010678466371149,23.42187049259257,0.0009930991345691
Alagoas,Homens,40-44,0.0008499657013716,14.141774058270569,0.0007217008691849
Alagoas,Homens,45-49,0.0030851156861669,60.906058184285584,0.0030501072802571
Alagoas,Homens,50-54,0.0037468335827976,52.68743094498694,0.0037271884735447
Alagoas,Homens,55-59,0.0045835272342541,44.42147720956252,0.0045520881957805
Alagoas,Homens,60-64,0.0063349896195352,42.09449738161973,0.0062868546015452
Alagoas,Homens,65-69,0.0084997520882293,37.81111800905933,0.0084519689728601
Alagoas,Homens,70-74,0.0018152480244535,3.8406356280115386,0.0013966514188932
Alagoas,Homens,75-79,0.0022752486958703,3.059459008716244,0.0017323872513503
Alagoas,Homens,80-84,0.0016111887041902,1.4684250826041274,0.0013031829148716
Alagoas,Homens,85-89,0.0024105272846896,1.511056852458701,0.0020890462312222
Alagoas,Homens,90+,0.0299625218424899,12.81478905272779,0.0283964489932105
Amapá,Ambos,0,0.0053131621090899,30.61982383596382,0.0050438118697754
Amapá,Ambos,1-4,7.190702366700842e-05,6.624247570253683,6.113604732882176e-05
Amapá,Ambos,5-9,3.924997192730249e-05,9.464663955651597,3.514405357415756e-05
Amapá,Ambos,10-14,5.898307069272227e-05,12.11363132897766,5.2915276414508745e-05
Amapá,Ambos,15-19,0.0013410136889338,111.22413589457872,0.0013355175365371
Amapá,Ambos,20-24,0.0016661118440698,113.5329789113521,0.0016410077123981
Amapá,Ambos,25-29,0.0014326840666582,109.30577143087564,0.0014249474645937
Amapá,Ambos,30-34,0.0006027212688728,23.354525597360308,0.0005485388085684
Amapá,Ambos,35-39,0.0012648180576211,79.65612347369249,0.0012501900824779
Amapá,Ambos,40-44,0.0016131040020159,81.42284019635916,0.0016109601133757
Amapá,Ambos,45-49,0.002089637715899,70.0488572602514,0.0020787929572261
Amapá,Ambos,50-54,0.0028178154693651,61.184467534963005,0.0028047914463764
Amapá,Ambos,55-59,0.000627382679655,6.200340598669231,0.0005886610990716
Amapá,Ambos,60-64,0.0045835624588795,42.62341539010947,0.004543942127299
Amapá,Ambos,65-69,0.0069841519723098,41.72888476514007,0.006958668774308
Amapá,Ambos,70-74,0.0014823133332386,4.827844014963531,0.0013319438197878
Amapá,Ambos,75-79,0.0016687587230311,3.11476790090939,0.0013782599951666
Amapá,Ambos,80-84,0.0020237313229999,2.3564538762489824,0.0016962807831274
Amapá,Ambos,85-89,0.0033792181233335,2.153194045403913,0.0026335042480977
Amapá,Ambos,90+,0.0320214959181146,12.945969080168393,0.0274043713035832
Amapá,Mulheres,0,0.0037063768806169,16.83551014959968,0.0029968281989983
Amapá,Mulheres,1-4,0.0001048895203852,10.013759437613098,8.999881032192864e-05
Amapá,Mulheres,5-9,7.429882529598654e-05,20.40033805591995,6.054475336755422e-05
Amapá,Mulheres,10-14,5.330305297759345e-05,12.396363111335726,4.4047615751334016e-05
Amapá,Mulheres,15-19,0.0001210945922884,16.751049110301786,0.0001081769356401
Amapá,Mulheres,20-24,0.0005208244605371,132.99432040371985,0.0005102700314295
Amapá,Mulheres,25-29,0.0006531858189689,131.0601667802842,0.000648967852968
Amapá,Mulheres,30-34,0.0006371812242928,96.60398995968455,0.0006338053537156
Amapá,Mulheres,35-39,0.000903057654126,103.77232068297027,0.0009004226601932
Amapá,Mulheres,40-44,0.0013257171836924,99.31716852311622,0.0013169795159766
Amapá,Mulheres,45-49,0.0017586981549343,82.92554761757947,0.0017494577704575
Amapá,Mulheres,50-54,0.0001919221329157,4.066383892740051,0.0001765868308189
Amapá,Mulheres,55-59,0.0030634258437741,59.56842728350439,0.0030560995109723
Amapá,Mulheres,60-64,0.0032277795376696,41.14162568456295,0.003178646796035
Amapá,Mulheres,65-69,0.0054306436133145,39.97746214753032,0.0053564739885258
Amapá,Mulheres,70-74,0.0009271069963674,3.319114178133576,0.000693098272035
Amapá,Mulheres,75-79,0.0015908221060857,3.7265185029289287,0.0013680329662742
Amapá,Mulheres,80-84,0.0029057605540152,3.452451385852743,0.0021775530208012
Amapá,Mulheres,85-89,0.004079538544563,2.8472629322477463,0.0031664087194291
Amapá,Mulheres,90+,0.038058123122209,15.863242846496778,0.0315053363933444
Amapá,Homens,0,0.0056571553429263,30.76263755194567,0.0054680189026034
Amapá,Homens,1-4,0.0001133956809482,9.886903537592444,9.608080684844673e-05
