regiao,faixa_etaria,taxa,RMSE_LC,RMSE_LM,MAE_LC,MAE_LM,SMAPE_LC,SMAPE_LM
Norte,75-79,Homens,0.014974187467075278,0.014758649198832284,0.014944936014901305,0.014728026493703387,26.33528336921494,25.904207059195805
Norte,80-84,Homens,0.013225085839988372,0.013014847090764229,0.013222454019617538,0.013012233949311471,15.226293637428373,14.966255734827968
Norte,85-89,Homens,0.005327362400415359,0.005248175666769215,0.005191465712335745,0.005109176595640752,3.8341549819416705,3.772215094828381
Norte,90+,Homens,0.013842770484320956,0.013627529972099003,0.01382497999367057,0.013609930046349604,6.992588437568685,6.887575533566234
Nordeste,0,Homens,0.02954040765161522,0.030470247889163575,0.029461517292212566,0.03039424227303826,98.20777947886663,102.94601081814787
Nordeste,1-4,Homens,0.0011056931732493177,0.0011393329225278309,0.0010957568398961535,0.00112972085772924,99.51451314196265,104.27316539382203
Nordeste,5-9,Homens,2.0327930884204946e-4,2.1269113365070253e-4,2.032359013368544e-4,2.1264857214992673e-4,49.64850766216119,52.557421409140595
Nordeste,10-14,Homens,1.1809717128166927e-4,1.2351013500473516e-4,1.1696327806076201e-4,1.2247641989407263e-4,22.155588715983125,23.32732541710754
Nordeste,15-19,Homens,8.535141417834527e-4,9.21437608227941e-4,8.510900940874473e-4,9.186448047895836e-4,37.47663465218938,39.853301993917825
Nordeste,20-24,Homens,6.365778427619882e-4,6.858449255401005e-4,6.338764952272567e-4,6.829487051300019e-4,18.66644348628431,19.965837461180776
Nordeste,25-29,Homens,1.1833743991532395e-4,1.2768609992943705e-4,1.0606756202279869e-4,1.1669105804420967e-4,3.053657981267854,3.3527832918718006
Nordeste,30-34,Homens,4.184171431997284e-4,4.3737203427000285e-4,4.159247571812328e-4,4.3511074303313963e-4,11.106674653449156,11.649776475895434
Nordeste,35-39,Homens,7.786036735584084e-4,8.166616825199282e-4,7.775754333993708e-4,8.157995722936248e-4,17.983062616822515,18.952385205042678
Nordeste,40-44,Homens,0.001138112385926891,0.00119582250652568,0.0011375340661234753,0.001195371406021626,21.306584711151515,22.5136607055641
Nordeste,45-49,Homens,0.0016926408684522225,0.0017770225894310446,0.001691380032436211,0.0017759386342487981,24.35896271887434,25.735755718719112
Nordeste,50-54,Homens,0.0021884821043266505,0.002300870105226437,0.002186769686484885,0.002299249086649885,23.367781558247714,24.720099271629376
Nordeste,55-59,Homens,0.0028946964653087438,0.0030419208909125695,0.0028931870812408927,0.003040706091890618,22.880508106780027,24.190306963415328
Nordeste,60-64,Homens,0.004177347046216988,0.00438181416591867,0.004169780092984196,0.0043739028102508515,23.592939252824745,24.89259790467053
Nordeste,65-69,Homens,0.00607001538429933,0.006382347758490399,0.006067240033832636,0.006380016216330725,24.065437225010182,25.466150656774506
Nordeste,70-74,Homens,0.007006790477275049,0.007363121268032747,0.006997049937893612,0.007352720012387545,19.800701329878663,20.91316668546617
Nordeste,75-79,Homens,0.010380228043899094,0.010913147559903094,0.010283351868043232,0.010816469310810258,18.511721317477,19.566444729571757
Nordeste,80-84,Homens,0.008645164578861482,0.009131482649244297,0.00859142716934888,0.009083865805324623,10.07097240937716,10.68013770896301
Nordeste,85-89,Homens,0.009936061143229025,0.010323563305207936,0.009920583171673977,0.010307150614395584,7.324009014229069,7.620339737095502
Nordeste,90+,Homens,0.014465206687836869,0.015211382766631445,0.014256990977409754,0.0150041589013881,7.302554377052742,7.70026149523953
Sudeste,0,Homens,0.009288791311263237,0.009002974844873323,0.00922403288521281,0.008936575623932429,58.43880253986495,56.094145295929444
Sudeste,1-4,Homens,3.1627235290373264e-4,3.062283219087487e-4,3.143272391383283e-4,3.0423050851752394e-4,53.088069312602336,50.93765535841408
Sudeste,5-9,Homens,1.1093101528425521e-4,1.0695227716879885e-4,1.1047746061141074e-4,1.0648264710707585e-4,40.690154601931674,38.92698047828135
Sudeste,10-14,Homens,1.3364869131063988e-4,1.29043519737238e-4,1.3330015051125536e-4,1.28681164538964e-4,34.258660455028476,32.87340248976517
Sudeste,15-19,Homens,7.338622462211578e-4,7.105289253028682e-4,7.333827297403119e-4,7.100346834008443e-4,39.49893004763662,38.0025335974093
Sudeste,20-24,Homens,0.0013165428654561642,0.0012753680818281433,0.0013162996268360988,0.0012751116918099064,50.66655943960975,48.69595879971605
Sudeste,25-29,Homens,0.0015071896313169075,0.00146127754843136,0.0015060484543334238,0.0014601244882409263,58.19697990426822,55.9238239284703
Sudeste,30-34,Homens,0.0016667709217575634,0.0016154795844574895,0.001665066640900652,0.0016137532147402107,58.28942629816661,55.987241453112034
Sudeste,35-39,Homens,0.0018842568420037388,0.001823539906495627,0.001882385343629622,0.0018216367385602088,53.741690322681556,51.55739890844628
Sudeste,40-44,Homens,0.002138155687064698,0.0020651946366542,0.0021351934856106533,0.002062148851060823,45.678415547924715,43.77069260128953
Sudeste,45-49,Homens,0.002659188696799491,0.0025657065105091437,0.002658528178135872,0.0025650258277982686,40.71314481045117,39.00102605016854
Sudeste,50-54,Homens,0.0028807800778046845,0.0027723868322386295,0.002879427507097924,0.002770965261950107,30.872581666530724,29.536895347035024
Sudeste,55-59,Homens,0.003612943445789284,0.0034798408798115284,0.003606995633542145,0.0034736004749506217,27.03738366940394,25.906362149572416
Sudeste,60-64,Homens,0.005717055014160838,0.005510918444654873,0.005714036962034615,0.005507750888687837,30.102737118176876,28.858269820521553
Sudeste,65-69,Homens,0.008144665022087327,0.00783881401621312,0.00814043592075828,0.007834367182627769,29.57834548803125,28.307894921920752
Sudeste,70-74,Homens,0.00916098539291621,0.008813142878036343,0.009155116822200233,0.00880692379788783,23.12070096724464,22.143302474851335
Sudeste,75-79,Homens,0.012032672148469047,0.01154670529815057,0.012028184334340929,0.01154204119186686,19.891098208142775,19.010543097596432
Sudeste,80-84,Homens,0.015814900360899855,0.015174135710744765,0.015743087950848427,0.015098444590037563,16.84030627326821,16.09392307150921
Sudeste,85-89,Homens,0.014713220224719393,0.01406019407484894,0.014565166037038516,0.01390704321519666,10.179504567426985,9.697187052237913
Sudeste,90+,Homens,0.019814474038817215,0.01908775423782736,0.019676491453553324,0.01894164499238382,9.17291986226668,8.845988097680197
