regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_carter_2_1$lmt_inf,previsao_lee_carter_3_1$lmt_max
Piauí,55-59,Mulheres,2063,0.0014756428599417165,8.31805248410099e-4,0.0026178265336255736
Piauí,55-59,Mulheres,2064,0.0014346780631874154,8.002513328031993e-4,0.0025720683747956696
Piauí,55-59,Mulheres,2065,0.0013948504755903401,7.698969630933377e-4,0.002527101602579937
Piauí,55-59,Mulheres,2066,0.0013561285274914245,7.406963112773596e-4,0.0024829131117238674
Piauí,55-59,Mulheres,2067,0.0013184815256256815,7.126053221277969e-4,0.002439489966515385
Piauí,55-59,Mulheres,2068,0.0012818796287929408,6.855816422754038e-4,0.002396819403245098
Piauí,55-59,Mulheres,2069,0.0012462938242039795,6.595845524014971e-4,0.0023548888320590908
Piauí,55-59,Mulheres,2070,0.0012116959044833002,6.34574902369684e-4,0.0023136858382814996
Piauí,60-64,Mulheres,2024,0.006559404667371338,0.005600477936111704,0.007682521042160342
Piauí,60-64,Mulheres,2025,0.006371641698440602,0.005375355354416425,0.0075525830864282524
Piauí,60-64,Mulheres,2026,0.006189253444791119,0.005160075684676776,0.007423700841755822
Piauí,60-64,Mulheres,2027,0.006012086055189508,0.004954040082954352,0.007296101389928384
Piauí,60-64,Mulheres,2028,0.005839990082394184,0.0047567264424760265,0.007169948613801186
Piauí,60-64,Mulheres,2029,0.005672820357091072,0.004567670722887505,0.007045361357283518
Piauí,60-64,Mulheres,2030,0.005510435865437961,0.004386454282567949,0.006922425601875543
Piauí,60-64,Mulheres,2031,0.005352699630114076,0.0042126949973476146,0.006801202875656261
Piauí,60-64,Mulheres,2032,0.0051994785947746805,0.004046040851695598,0.006681736207925476
Piauí,60-64,Mulheres,2033,0.005050643511813112,0.003886165193307867,0.0065640544378677956
Piauí,60-64,Mulheres,2034,0.004906068833335644,0.003732763136359611,0.006448175391300406
Piauí,60-64,Mulheres,2035,0.004765632605257214,0.0035855487765195674,0.006334108261758501
Piauí,60-64,Mulheres,2036,0.004629216364428638,0.0034442529916571306,0.006221855421364812
Piauí,60-64,Mulheres,2037,0.004496705038708551,0.003308621673156648,0.006111413815969867
Piauí,60-64,Mulheres,2038,0.004367986849895831,0.0031784142793257228,0.006002776052500764
Piauí,60-64,Mulheres,2039,0.004242953219440534,0.0030534026336059817,0.005895931255256754
Piauí,60-64,Mulheres,2040,0.004121498676853872,0.0029333699116342897,0.005790865746572094
Piauí,60-64,Mulheres,2041,0.004003520770739976,0.002818109776045305,0.005687563592444217
Piauí,60-64,Mulheres,2042,0.003888919982374334,0.0027074256283960083,0.0055860070432554405
Piauí,60-64,Mulheres,2043,0.0037775996417560875,0.002601129955114892,0.005486176892213524
Piauí,60-64,Mulheres,2044,0.003669465846063306,0.0024990437498450097,0.005388052768688095
Piauí,60-64,Mulheres,2045,0.003564427380442475,0.002400995998572206,0.005291613379615517
Piauí,60-64,Mulheres,2046,0.0034623956410654144,0.0023068232169233174,0.005196836709168295
Piauí,60-64,Mulheres,2047,0.003363284560388666,0.002216369031270897,0.005103700184649533
Piauí,60-64,Mulheres,2048,0.0032670105345523285,0.002129483796991915,0.00501218081487775
Piauí,60-64,Mulheres,2049,0.0031734923528571315,0.0020460242485400037,0.004922255306030306
Piauí,60-64,Mulheres,2050,0.003082651129260199,0.0019658531770061554,0.004833900158912744
Piauí,60-64,Mulheres,2051,0.0029944102358317477,0.001888839131634975,0.004747091750843052
Piauí,60-64,Mulheres,2052,0.0029086952381166165,0.0018148561423867227,0.004661806404730148
Piauí,60-64,Mulheres,2053,0.00282543383234603,0.0017437834611292306,0.004578020447444737
Piauí,60-64,Mulheres,2054,0.002744555784446714,0.0016755053194380672,0.004495710259198821
