regiao,Faixa_Etaria,Sexo,ano,previsto,lmt_inf,lmt_max
Bahia,80-84,Mulheres,2068,0.04342403125414231,0.03490511085617815,0.05402207424953566
Bahia,80-84,Mulheres,2069,0.04312276545919194,0.03452351395471029,0.053863952067218925
Bahia,80-84,Mulheres,2070,0.04282358977602039,0.03414618855537385,0.053706135849714565
Bahia,85-89,Mulheres,2024,0.10468461658347421,0.10411353614224796,0.10525882949798332
Bahia,85-89,Mulheres,2025,0.10447868148160014,0.10365701529775034,0.10530686083116036
Bahia,85-89,Mulheres,2026,0.10427315149432236,0.10324991445303439,0.105306529115854
Bahia,85-89,Mulheres,2027,0.10406802582470126,0.10286739927031874,0.10528266560517202
Bahia,85-89,Mulheres,2028,0.10386330367736499,0.10250011331347615,0.10524462365992568
Bahia,85-89,Mulheres,2029,0.10365898425850635,0.10214338896537684,0.10519706783125747
Bahia,85-89,Mulheres,2030,0.1034550667758797,0.10179452968748981,0.10514269160101125
Bahia,85-89,Mulheres,2031,0.10325155043879788,0.10145182707367349,0.10508320032791309
Bahia,85-89,Mulheres,2032,0.10304843445812929,0.10111412724401428,0.10501974485370431
Bahia,85-89,Mulheres,2033,0.10284571804629454,0.10078061316731961,0.10495313918061995
Bahia,85-89,Mulheres,2034,0.10264340041726366,0.10045068486124276,0.10488398027123598
Bahia,85-89,Mulheres,2035,0.10244148078655294,0.10012388874288926,0.10481271869783415
Bahia,85-89,Mulheres,2036,0.10223995837122186,0.09979987365317745,0.10473970261801403
Bahia,85-89,Mulheres,2037,0.10203883238987017,0.0994783622688649,0.10466520636263811
Bahia,85-89,Mulheres,2038,0.10183810206263472,0.09915913184140533,0.10458944969694707
Bahia,85-89,Mulheres,2039,0.10163776661118654,0.09884200082499102,0.10451261119248957
Bahia,85-89,Mulheres,2040,0.10143782525872777,0.09852681935338622,0.10443483775026124
Bahia,85-89,Mulheres,2041,0.10123827722998868,0.0982134623071042,0.10435625153349957
Bahia,85-89,Mulheres,2042,0.10103912175122463,0.09790182416881237,0.1042769551122516
Bahia,85-89,Mulheres,2043,0.1008403580502131,0.09759181514092115,0.10419703534575732
Bahia,85-89,Mulheres,2044,0.10064198535625067,0.09728335817164711,0.10411656635635937
Bahia,85-89,Mulheres,2045,0.10044400290015001,0.0969763866464145,0.10403561183807387
Bahia,85-89,Mulheres,2046,0.10024640991423707,0.0966708425741549,0.10395422687026377
Bahia,85-89,Mulheres,2047,0.1000492056323478,0.09636667514690671,0.10387245935801208
Bahia,85-89,Mulheres,2048,0.09985238928982541,0.09606383958457465,0.10379035118733526
Bahia,85-89,Mulheres,2049,0.09965596012351738,0.0957622962000404,0.10370793916004592
Bahia,85-89,Mulheres,2050,0.09945991737177239,0.09546200963634101,0.10362525575654698
Bahia,85-89,Mulheres,2051,0.09926426027443745,0.09516294823951346,0.1035423297629607
Bahia,85-89,Mulheres,2052,0.09906898807285501,0.09486508353935708,0.10345918679033933
Bahia,85-89,Mulheres,2053,0.09887410000985986,0.09456838981674741,0.10337584970732461
Bahia,85-89,Mulheres,2054,0.09867959532977631,0.0942728437408949,0.10329233900286262
Bahia,85-89,Mulheres,2055,0.09848547327841527,0.09397842406352859,0.10320867309199337
Bahia,85-89,Mulheres,2056,0.09829173310307122,0.09368511135971477,0.103124868575006
Bahia,85-89,Mulheres,2057,0.09809837405251942,0.0933928878071158,0.10304094045815333
Bahia,85-89,Mulheres,2058,0.09790539537701291,0.09310173699711823,0.10295690234249782
Bahia,85-89,Mulheres,2059,0.09771279632827959,0.09281164377252532,0.1028727665861926
Bahia,85-89,Mulheres,2060,0.09752057615951946,0.09252259408750522,0.10278854444450732
Bahia,85-89,Mulheres,2061,0.09732873412540155,0.092234574886275,0.10270424619111812
Bahia,85-89,Mulheres,2062,0.09713726948206108,0.09194757399762843,0.10261988122355384
Bahia,85-89,Mulheres,2063,0.09694618148709665,0.09166158004291984,0.1025354581551865
Bahia,85-89,Mulheres,2064,0.09675546939956728,0.09137658235552247,0.10245098489574687
Bahia,85-89,Mulheres,2065,0.09656513247998956,0.09109257091010968,0.10236646872201788
Bahia,85-89,Mulheres,2066,0.09637516999033481,0.09080953626037533,0.10228191634008839
Bahia,85-89,Mulheres,2067,0.0961855811940262,0.09052746948403063,0.10219733394033104
Bahia,85-89,Mulheres,2068,0.09599636535593586,0.09024636213409516,0.10211272724608556
Bahia,85-89,Mulheres,2069,0.09580752174238209,0.08996620619565009,0.10202810155688026
Bahia,85-89,Mulheres,2070,0.09561904962112647,0.08968699404734586,0.10194346178689905
Bahia,90+,Mulheres,2024,0.17639256384892701,0.1785516945543288,0.17425954236312494
Bahia,90+,Mulheres,2025,0.177166774379407,0.18030536414936277,0.17408281829043204
Bahia,90+,Mulheres,2026,0.1779443830233472,0.18189033200440366,0.1740840378959399
Bahia,90+,Mulheres,2027,0.17872540469552167,0.18339805137827092,0.17417180849808414
Bahia,90+,Mulheres,2028,0.17950985437616734,0.1848628529124954,0.17431186044394706
Bahia,90+,Mulheres,2029,0.18029774711127144,0.18630182415143243,0.17448716759196606
Bahia,90+,Mulheres,2030,0.18108909801285994,0.1877248264085428,0.1746879304484943
Bahia,90+,Mulheres,2031,0.18188392225928762,0.18913810853589993,0.17490796240115408
Bahia,90+,Mulheres,2032,0.18268223509552908,0.19054589738250496,0.1751430992634024
Bahia,90+,Mulheres,2033,0.18348405183347105,0.19195119451505013,0.17539040255666785
Bahia,90+,Mulheres,2034,0.18428938785220633,0.19335621381519816,0.17564772191599157
Bahia,90+,Mulheres,2035,0.1850982585983285,0.19476263905612268,0.17591343751642713
Bahia,90+,Mulheres,2036,0.1859106795862283,0.19617178394646562,0.17618630003204372
Bahia,90+,Mulheres,2037,0.18672666639839128,0.1975846959993224,0.17646532676992194
Bahia,90+,Mulheres,2038,0.1875462346856966,0.19900222640424955,0.17674973180114764
