ano,faixa_etaria,mx_previsto,local,sexo,ax,n,qx,px,lx,dx,Lx,Tx,ex
2054,25-29,0.002058165905639561,Rio Grande do Norte,Ambos,2.5,5,0.01023815000003059,0.9897618499999694,95869.76116389937,981.528995263109,476894.9833313391,5776453.59126965,60.253134264037634
2054,30-34,0.0016004839107912608,Rio Grande do Norte,Ambos,2.5,5,0.00797052780019449,0.9920294721998055,94888.23216863626,756.3092924114244,472550.3876121528,5299558.607938311,55.850535802162334
2054,35-39,0.0015572164343634275,Rio Grande do Norte,Ambos,2.5,5,0.007755888180472844,0.9922441118195272,94131.92287622484,730.0766680408935,468834.422711022,4827008.220326158,51.279184285582346
2054,40-44,0.0015782680746389754,Rio Grande do Norte,Ambos,2.5,5,0.00786032611877111,0.9921396738812289,93401.84620818395,734.1689712916307,465173.8086126907,4358173.797615136,46.66046737343045
2054,45-49,0.0023781289194909965,Rio Grande do Norte,Ambos,2.5,5,0.011820368695868257,0.9881796313041318,92667.67723689233,1095.3661111297854,460599.97090663714,3892999.9890024452,42.01033310730903
2054,50-54,0.002947122642271228,Rio Grande do Norte,Ambos,2.5,5,0.014627838128962777,0.9853721618710373,91572.31112576254,1339.5049442426716,454512.79326820606,3432400.018095808,37.48294627381259
2054,55-59,0.004545482024384619,Rio Grande do Norte,Ambos,2.5,5,0.02247204443682618,0.9775279555631738,90232.80618151987,2027.7156301706386,446094.74183217273,2977887.224827602,33.002267698923546
2054,60-64,0.006038681668215224,Rio Grande do Norte,Ambos,2.5,5,0.029744366440188512,0.9702556335598115,88205.09055134923,2623.604535249341,434466.44141862285,2531792.482995429,28.703473542964367
2054,65-69,0.010159924973619944,Rio Grande do Norte,Ambos,2.5,5,0.04954128550844354,0.9504587144915565,85581.4860160999,4239.816832960473,417307.88799809833,2097326.0415768065,24.506772892238047
2054,70-74,0.013588071989354958,Rio Grande do Norte,Ambos,2.5,5,0.06570823923425283,0.9342917607657472,81341.66918313943,5344.817858399177,393346.3012696991,1680018.153578708,20.653844093070855
2054,75-79,0.020604740075701258,Rio Grande do Norte,Ambos,2.5,5,0.09797673736150847,0.9020232626384915,75996.85132474024,7445.923542545682,361369.447767337,1286671.8523090088,16.930594227002427
2054,80-84,0.04593438862767969,Rio Grande do Norte,Ambos,2.5,5,0.2060141123856286,0.7939858876143714,68550.92778219456,14122.45854026014,307448.49256032245,925302.4045416719,13.498028903147977
2054,85-89,0.08216347366182214,Rio Grande do Norte,Ambos,2.5,5,0.3408116879440338,0.6591883120559662,54428.46924193442,18549.858474553595,225767.7000232881,617853.9119813495,11.35166798895244
2054,90+,0.09150694330260842,Rio Grande do Norte,Ambos,2.5,5,0.37235259663979925,0.6276474033602008,35878.61076738082,13359.493883062909,392086.2119580613,392086.2119580613,10.928132488187865
2055,0,0.0010755984466171156,Rio Grande do Norte,Ambos,0.05194929094062413,1,0.001074502752660875,0.9989254972473391,100000,107.4502752660875,99898.13169034536,8265655.945268776,82.65655945268776
2055,1-4,2.758688870668463e-5,Rio Grande do Norte,Ambos,1.5993627858865718,4,1.1034024742119321e-4,0.9998896597525788,99892.54972473391,11.022168652160985,399543.73867068905,8165757.813578431,81.74541380793835
2055,5-9,1.0174757090376822e-4,Rio Grande do Norte,Ambos,2.5,5,5.086084803253057e-4,0.9994913915196747,99881.52755608175,50.800591942868884,499280.63630055165,7766214.0749077415,77.7542581189214
2055,10-14,1.7042685087336121e-4,Rio Grande do Norte,Ambos,2.5,5,8.517713425978483e-4,0.9991482286574022,99830.72696413888,85.03295233876379,498941.0524398475,7266933.43860719,72.7925525496535
2055,15-19,0.004564590248921665,Rio Grande do Norte,Ambos,2.5,5,0.022565446205329784,0.9774345537946703,99745.69401180012,2250.806092436561,493101.45482790924,6767992.386167343,67.85247677324973
2055,20-24,0.003524577905332835,Rio Grande do Norte,Ambos,2.5,5,0.017468962726526677,0.9825310372734734,97494.88791936357,1703.134563090258,483216.6031890922,6274890.931339433,64.3612302680864
2055,25-29,0.0020631558132117238,Rio Grande do Norte,Ambos,2.5,5,0.010262844448100652,0.9897371555518993,95791.75335627332,983.0958641062566,476501.0271211009,5791674.328150341,60.46109529501633
2055,30-34,0.0015912039696476797,Rio Grande do Norte,Ambos,2.5,5,0.00792449612401343,0.9920755038759865,94808.65749216705,751.3108388195946,472165.0103637863,5315173.30102924,56.06210911137911
2055,35-39,0.0015393996002780268,Rio Grande do Norte,Ambos,2.5,5,0.007667489675037911,0.9923325103249621,94057.34665334746,721.1837343260032,468483.7739309222,4843008.290665453,51.48995227894931
2055,40-44,0.0015506237781848214,Rio Grande do Norte,Ambos,2.5,5,0.007723179526382112,0.9922768204736179,93336.16291902144,720.8519425272517,464878.6847387891,4374524.516734531,46.86848462508442
2055,45-49,0.002342604978167089,Rio Grande do Norte,Ambos,2.5,5,0.011644826817653125,0.9883551731823469,92615.31097649419,1078.4892569843632,460380.33174001006,3909645.8319957424,42.21381746467398
2055,50-54,0.002894896377491294,Rio Grande do Norte,Ambos,2.5,5,0.014370479266527758,0.9856295207334722,91536.82171950983,1315.4279986440638,454395.538600939,3449265.5002557323,37.6817267134868
2055,55-59,0.004475611412066695,Rio Grande do Norte,Ambos,2.5,5,0.022130438947564064,0.9778695610524359,90221.39372086576,1996.6390455037595,446115.3709905694,2994869.9616547935,33.19467631946104
2055,60-64,0.005934117296656972,Rio Grande do Norte,Ambos,2.5,5,0.02923684925118188,0.9707631507488181,88224.754675362,2579.4138526660627,434675.2387451448,2548754.590664224,28.889336105753994
2055,65-69,0.010019387165939166,Rio Grande do Norte,Ambos,2.5,5,0.04887274836047797,0.951127251639522,85645.34082269593,4185.723190274989,417762.3961377922,2114079.351919079,24.684113947256897
2055,70-74,0.013385110371292515,Rio Grande do Norte,Ambos,2.5,5,0.06475855097572494,0.9352414490242751,81459.61763242094,5275.206800912194,394110.07115982426,1696316.955781287,20.824023056869258
2055,75-79,0.02024632716153498,Rio Grande do Norte,Ambos,2.5,5,0.09635457041723373,0.9036454295827663,76184.41083150875,7340.716178160074,362570.2637121435,1302206.8846214628,17.092826083559988
2055,80-84,0.045447989768053546,Rio Grande do Norte,Ambos,2.5,5,0.20405520200784152,0.7959447979921584,68843.69465334868,14047.914019455224,309098.68821810535,939636.6209093191,13.648840691085914
2055,85-89,0.08140202971641823,Rio Grande do Norte,Ambos,2.5,5,0.33818731410156333,0.6618126858984367,54795.78063389345,18531.237876674888,227650.80847778002,630537.9326912138,11.50705264888954
2055,90+,0.09001166971523031,Rio Grande do Norte,Ambos,2.5,5,0.36738582069908865,0.6326141793009114,36264.542757218565,13323.078803137934,402887.12421343377,402887.12421343377,11.109670592309836
2056,0,0.0010048248266803176,Rio Grande do Norte,Ambos,0.05175522967475743,1,0.0010038683209801658,0.9989961316790198,100000,100.38683209801658,99904.80871145353,8280516.062802639,82.80516062802639
2056,1-4,2.5603952235837994e-5,Rio Grande do Norte,Ambos,1.5995034130693861,4,1.0240951462928664e-4,0.9998975904853707,99899.61316790197,10.230670896178333,399573.89398103964,8180611.2540911855,81.88831762883781
2056,5-9,9.915376945836222e-5,Rio Grande do Norte,Ambos,2.5,5,4.956459843726424e-4,0.9995043540156273,99889.3824970058,49.50977131610384,499323.1380567387,7781037.360110146,77.89654080946374
2056,10-14,1.6733766063130215e-4,Rio Grande do Norte,Ambos,2.5,5,8.36338425867309e-4,0.9991636615741327,99839.8727256897,83.4999219941958,498990.613823463,7281714.222053407,72.9339293336234
2056,15-19,0.00469945155021478,Rio Grande do Norte,Ambos,2.5,5,0.02322440286100401,0.976775597138996,99756.3728036955,2316.7821899455284,492989.9085436137,6782723.6082299445,67.9928852423018
2056,20-24,0.003579877213290183,Rio Grande do Norte,Ambos,2.5,5,0.017740613025650106,0.9822593869743499,97439.59061374997,1728.6380704563064,482876.3578926091,6289733.699686331,64.55008339083446
