LOCAL,SEXO,IDADE,ANO,Previsao,Lower_95,Upper_95
Goiás,Ambos,45-49,2030,0.0031713287731565,0.0029429061516475,0.0033131777658964
Goiás,Ambos,45-49,2031,0.0030893731186288,0.0028609504971198,0.0032312221113687
Goiás,Ambos,45-49,2032,0.0030095355540346,0.0027811129325256,0.0031513845467745
Goiás,Ambos,45-49,2033,0.0029317613352281,0.0027033387137191,0.003073610327968
Goiás,Ambos,45-49,2034,0.0028559971330712,0.0026275745115621,0.002997846125811
Goiás,Ambos,45-49,2035,0.0027821909968562,0.0025537683753471,0.0029240399895961
Goiás,Ambos,45-49,2036,0.0027102923186749,0.0024818696971659,0.0028521413114148
Goiás,Ambos,45-49,2037,0.002640251798708,0.002411829177199,0.0027821007914479
Goiás,Ambos,45-49,2038,0.002572021411412,0.0023435987899029,0.0027138704041519
Goiás,Ambos,45-49,2039,0.0025055543725804,0.0022771317510714,0.0026474033653203
Goiás,Ambos,45-49,2040,0.0024408051072563,0.0022123824857473,0.0025826540999962
Goiás,Ambos,45-49,2041,0.0023777292184745,0.0021493065969655,0.0025195782112144
Goiás,Ambos,45-49,2042,0.0023162834568113,0.0020878608353022,0.0024581324495512
Goiás,Ambos,45-49,2043,0.0022564256907221,0.002028003069213,0.0023982746834619
Goiás,Ambos,45-49,2044,0.0021981148776452,0.0019696922561362,0.0023399638703851
Goiás,Ambos,45-49,2045,0.0021413110358531,0.0019128884143441,0.002283160028593
Goiás,Ambos,45-49,2046,0.0020859752170309,0.0018575525955218,0.0022278242097707
Goiás,Ambos,45-49,2047,0.0020320694795638,0.0018036468580547,0.0021739184723037
Goiás,Ambos,45-49,2048,0.0019795568625156,0.0017511342410066,0.0021214058552555
Goiás,Ambos,45-49,2049,0.0019284013602791,0.00169997873877,0.002070250353019
Goiás,Ambos,45-49,2050,0.0018785678978821,0.001650145276373,0.0020204168906219
Goiás,Ambos,45-49,2051,0.0018300223069319,0.0016015996854228,0.0019718712996717
Goiás,Ambos,45-49,2052,0.0017827313021816,0.0015543086806726,0.0019245802949215
Goiás,Ambos,45-49,2053,0.0017366624587021,0.001508239837193,0.0018785114514419
Goiás,Ambos,45-49,2054,0.0016917841896438,0.0014633615681348,0.0018336331823837
Goiás,Ambos,45-49,2055,0.0016480657245742,0.0014196431030652,0.0017899147173141
Goiás,Ambos,45-49,2056,0.0016054770883743,0.0013770544668653,0.0017473260811142
Goiás,Ambos,45-49,2057,0.0015639890806814,0.0013355664591723,0.0017058380734212
Goiás,Ambos,45-49,2058,0.0015235732558627,0.0012951506343536,0.0016654222486025
Goiás,Ambos,45-49,2059,0.0014842019035071,0.001255779281998,0.0016260508962469
