LOCAL,SEXO,IDADE,RMSE,MAE,sMAPE
Sudeste,Mulheres,40-44,0.0001226629602017,0.0001163310628278,6.24243177613456
Sudeste,Mulheres,45-49,0.0002580409076564,0.0002577965822295,9.02729703588045
Sudeste,Mulheres,50-54,0.0001793324352844,0.0001726950415299,4.15150733592585
Sudeste,Mulheres,55-59,0.000606058438407,0.0006025499273103,9.44884218114402
Sudeste,Mulheres,60-64,0.0004459306437771,0.0004405902536953,4.59011977759069
Sudeste,Mulheres,65-69,0.0007533034326186,0.0007349265887374,5.01604277381283
Sudeste,Mulheres,70-74,0.0016940531920315,0.0016918748339718,7.77559854415709
Sudeste,Mulheres,75-79,0.0017460369035717,0.0017454357404555,4.76191987182683
Sudeste,Mulheres,80-84,0.0031905620693158,0.003147457364825,4.97171918294973
Sudeste,Mulheres,85-89,0.0035818156069805,0.003489400010819,3.19580842730059
Sudeste,Mulheres,90+,0.0072201072781323,0.0071679594475199,3.62577015184759
Sudeste,Homens,0,0.0005600682712754,0.0004523053381636,3.61440021316122
Sudeste,Homens,1-4,6.52799658758764e-05,6.13841051293505e-05,12.1216268073542
Sudeste,Homens,5-9,3.58643964370828e-05,3.5617738127796e-05,15.7259331351815
Sudeste,Homens,10-14,6.2402197920716e-05,6.04767947174383e-05,18.4532786804505
Sudeste,Homens,15-19,0.0001054973454358,9.06253054186128e-05,5.78229493316268
Sudeste,Homens,20-24,0.000138313560053,0.0001358745092671,6.12473973194103
Sudeste,Homens,25-29,0.0001060358612718,0.0001028399305884,4.94810066145625
Sudeste,Homens,30-34,0.0002831102199173,0.0002816685206839,12.2877302554279
Sudeste,Homens,35-39,0.0004503632513156,0.0004501468918177,15.7925098320529
Sudeste,Homens,40-44,0.0006342809615107,0.0006339892430395,16.5357381480224
Sudeste,Homens,45-49,0.00067695303096,0.000676564499001,12.3649923201818
Sudeste,Homens,50-54,0.0009585309192679,0.0009583094671301,11.6430503619597
Sudeste,Homens,55-59,0.0011571808317074,0.0011537258243836,9.62758773057662
Sudeste,Homens,60-64,0.0004338715099806,0.0004005400827471,2.31310748830557
Sudeste,Homens,65-69,0.0011247270464947,0.0010902607246522,4.35775951583132
Sudeste,Homens,70-74,0.0025647129072254,0.0025630860740636,7.05329074967921
Sudeste,Homens,75-79,0.0042143480701675,0.004212707225557,7.51589820101414
Sudeste,Homens,80-84,0.0061791489095008,0.0061676430081161,7.08534750071214
Sudeste,Homens,85-89,0.0048449225378997,0.0045979991398872,3.34049573493618
Sudeste,Homens,90+,0.0052084713815049,0.0051506278778957,2.36252583257434
Sudeste,Ambos,0,0.0005323173135602,0.0003797187360925,3.27816866090381
Sudeste,Ambos,1-4,4.07773992862992e-05,3.80743019205627e-05,8.09063360308435
Sudeste,Ambos,5-9,3.85291372814334e-05,3.83445692116187e-05,18.578124227002
Sudeste,Ambos,10-14,4.79281090499512e-05,4.69986847097368e-05,17.0280644769855
Sudeste,Ambos,15-19,5.25787726737399e-05,4.54007089731214e-05,4.58099088788204
Sudeste,Ambos,20-24,2.69032737086214e-05,2.15336427973057e-05,1.5668776289468
Sudeste,Ambos,25-29,5.53383609101654e-05,5.11805664792853e-05,3.78141258428161
Sudeste,Ambos,30-34,0.0001512591517094,0.0001488721791682,9.504696271818
Sudeste,Ambos,35-39,0.0002223503647563,0.0002214325923935,10.9785997291733
Sudeste,Ambos,40-44,0.0003636641650642,0.0003625726719102,12.8954114874004
Sudeste,Ambos,45-49,0.0004529586890695,0.000452680827689,11.0295190062619
Sudeste,Ambos,50-54,0.0004926260320044,0.0004901461033178,8.10160292618613
Sudeste,Ambos,55-59,0.0009262389980716,0.0009219219010518,10.2228867392766
Sudeste,Ambos,60-64,0.0003752302133569,0.000344660872002,2.62193429445955
Sudeste,Ambos,65-69,0.0009157261658921,0.0008919232270105,4.61438859693782
Sudeste,Ambos,70-74,0.0021590855362753,0.0021576772103733,7.65833784635172
Sudeste,Ambos,75-79,0.0026482875500851,0.0026474152424525,5.92816158774728
Sudeste,Ambos,80-84,0.0041214791764363,0.0041021131606752,5.66778368193254
Sudeste,Ambos,85-89,0.0033281524825004,0.0032278578035992,2.71757273376685
Sudeste,Ambos,90+,0.0072812683159886,0.007242776074336,3.54329957008826
Sul,Mulheres,0,0.0006977778645387,0.0005500063264629,5.79100608907496
Sul,Mulheres,1-4,3.56096548931711e-05,3.34897257604803e-05,8.99334992850326
Sul,Mulheres,5-9,2.38185085801902e-05,2.2830261503654e-05,12.2063193271788
Sul,Mulheres,10-14,1.69578084090552e-05,1.68140700691982e-05,7.28134577287666
