regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_miler_2_1$lmt_inf,previsao_lee_miler_3_1$lmt_max
Acre,40-44,Homens,2068,7.567297506296158e-4,3.5824325488891234e-4,0.0015984667057179608
Acre,40-44,Homens,2069,7.340685664220133e-4,3.431806332222641e-4,0.0015701837692568004
Acre,40-44,Homens,2070,7.120859986812063e-4,3.2875234448429344e-4,0.0015423965122233119
Acre,45-49,Homens,2024,0.004616265028462056,0.00404167227771381,0.0052725459534427735
Acre,45-49,Homens,2025,0.0045154718798699756,0.003913775760003676,0.005209671567355545
Acre,45-49,Homens,2026,0.0044168794842113735,0.003790416792468848,0.00514688105456088
Acre,45-49,Homens,2027,0.004320439789475357,0.0036713338433242647,0.005084310163845055
Acre,45-49,Homens,2028,0.004226105792835483,0.0035563034973012616,0.00502206017731356
Acre,45-49,Homens,2029,0.004133831517741483,0.003445130491856463,0.0049602077649791455
Acre,45-49,Homens,2030,0.0040435719915112136,0.003337641010444733,0.004898811585598088
Acre,45-49,Homens,2031,0.003955283223411837,0.0032336780251465197,0.00483791684136341
Acre,45-49,Homens,2032,0.003868922183219582,0.0031330979737801633,0.004777558501226384
Acre,45-49,Homens,2033,0.0037844467802476763,0.003035768331928252,0.004717763632322358
Acre,45-49,Homens,2034,0.003701815842832151,0.002941565800620722,0.00465855311866607
Acre,45-49,Homens,2035,0.003620989098265583,0.002850374927169952,0.004599942949531993
Acre,45-49,Homens,2036,0.003541927153168947,0.0027620870368880992,0.00454194519970289
Acre,45-49,Homens,2037,0.0034645914742920734,0.002676599391954184,0.004484568785235231
Acre,45-49,Homens,2038,0.003388944369733282,0.0025938145189563504,0.0044278200531347135
Acre,45-49,Homens,2039,0.003314948970569074,0.0025136396635496673,0.004371703246422709
Acre,45-49,Homens,2040,0.00324256921288496,0.00243598634221873,0.004316220874527917
Acre,45-49,Homens,2041,0.003171769820198595,0.0023607699691585815,0.0042613740109157
Acre,45-49,Homens,2042,0.0031025162862667165,0.0022879095419516492,0.0042071625342054875
Acre,45-49,Homens,2043,0.0030347748582674632,0.002217327373775397,0.004153585324972049
Acre,45-49,Homens,2044,0.002968512520349926,0.0021489488628196915,0.004100640427484039
Acre,45-49,Homens,2045,0.0029036969775428543,0.002082702291756083,0.0040483251834722445
Acre,45-49,Homens,2046,0.002840296640014712,0.0020185186517087256,0.0039966363434143694
Acre,45-49,Homens,2047,0.0027782806076774255,0.0019563314863834777,0.00394557015961834
Acre,45-49,Homens,2048,0.002717618655126269,0.0018960767529269836,0.0038951224644726847
Acre,45-49,Homens,2049,0.002658281216908603,0.001837692696787727,0.0038452887365342412
Acre,45-49,Homens,2050,0.002600239373114233,0.0017811197383914758,0.0037960641565847565
Acre,45-49,Homens,2051,0.00254346483528043,0.001726300369863897,0.0037474436553692815
Acre,45-49,Homens,2052,0.0024879299326046726,0.0016731790603626603,0.003699421954401376
Acre,45-49,Homens,2053,0.0024336075984584347,0.001621702168841435,0.0036519936009616993
Acre,45-49,Homens,2054,0.00238047135719545,0.001571817863274988,0.003605152998211333
Acre,45-49,Homens,2055,0.002328495311247991,0.0015234760455398878,0.0035588944311772753
Acre,45-49,Homens,2056,0.0022776541285049016,0.0014766282812784927,0.0035132120892360274
Acre,45-49,Homens,2057,0.002227923029965214,0.001431227734181589,0.003468100085614754
Acre,45-49,Homens,2058,0.002179277777661358,0.0013872291042127877,0.00342355247434323
Acre,45-49,Homens,2059,0.0021316946628460436,0.0013445885693695726,0.00337956326501933
Acre,45-49,Homens,2060,0.002085150494437071,0.0013032637306349551,0.0033361264356930064
Acre,45-49,Homens,2061,0.0020396225877144657,0.0012632135598225052,0.003293235944126174
Acre,45-49,Homens,2062,0.001995088753264376,0.0012243983500581635,0.0032508857376465122
Acre,45-49,Homens,2063,0.0019515272861643919,0.0011867796686760286,0.0032090697617805273
Acre,45-49,Homens,2064,0.0019089169554049813,0.0011503203123337919,0.003167781967823971
Acre,45-49,Homens,2065,0.0018672369935419212,0.001114984264177376,0.00312701631948486
Acre,45-49,Homens,2066,0.0018264670865746442,0.0010807366529045905,0.0030867667987151833
Acre,45-49,Homens,2067,0.0017865873640455856,0.001047543713594819,0.003047027410831231
Acre,45-49,Homens,2068,0.0017475783893557218,0.0010153727501864317,0.003007792189008805
Acre,45-49,Homens,2069,0.0017094211502915416,9.841920994961763e-4,0.0029690551982280095
Acre,45-49,Homens,2070,0.0016720970497588702,9.539710966856297e-4,0.0029308105387323667
Acre,50-54,Homens,2024,0.0068076139545946894,0.006346668296178255,0.007302037162190881
Acre,50-54,Homens,2025,0.006728805999015574,0.006239933635769016,0.0072559794406864735
Acre,50-54,Homens,2026,0.0066509103592498975,0.0061354126160355115,0.00720972025437475
Acre,50-54,Homens,2027,0.006573916473925557,0.006032978525204437,0.007163356810504379
Acre,50-54,Homens,2028,0.006497813903933581,0.005932528617203543,0.007116962808694348
Acre,50-54,Homens,2029,0.006422592331012729,0.005833977374292463,0.007070595170997937
Acre,50-54,Homens,2030,0.006348241556350544,0.005737252000281943,0.007024298541496088
Acre,50-54,Homens,2031,0.006274751499200534,0.00564228931385959,0.006978108385900323
Acre,50-54,Homens,2032,0.0062021121955154026,0.00554903355136034,0.006932053181824957
Acre,50-54,Homens,2033,0.006130313796596061,0.005457434777815073,0.006886156000893474
Acre,50-54,Homens,2034,0.006059346567756343,0.0053674477152774935,0.006840435673677056
Acre,50-54,Homens,2035,0.005989200887003122,0.005279030863813425,0.0067949076620793004
Acre,50-54,Homens,2036,0.005919867243731712,0.005192145831803334,0.006749584722514612
Acre,50-54,Homens,2037,0.005851336237436417,0.0051067568185728905,0.006704477416863689
Acre,50-54,Homens,2038,0.0057835985764359546,0.0050228302096219785,0.006659594510934006
Acre,50-54,Homens,2039,0.005716645076613666,0.004940334256263357,0.006614943288612403
Acre,50-54,Homens,2040,0.005650466660172283,0.0048592388193515485,0.006570529802027551
Acre,50-54,Homens,2041,0.005585054354403155,0.0047795151622437165,0.0065263590725788976
Acre,50-54,Homens,2042,0.005520399290469679,0.004701135781984416,0.006482435253838662
Acre,50-54,Homens,2043,0.005456492702204836,0.004624074270460534,0.00643876176457896
Acre,50-54,Homens,2044,0.00539332592492263,0.004548305199269383,0.006395341398179499
Acre,50-54,Homens,2045,0.00533089039424332,0.004473804023508207,0.006352176413206177
Acre,50-54,Homens,2046,0.005269177644932223,0.004400547000780665,0.006309268608863407
Acre,50-54,Homens,2047,0.005208179309751948,0.004328511122531576,0.006266619388207516
Acre,50-54,Homens,2048,0.005147887118327966,0.004257674055438612,0.006224229811391001
Acre,50-54,Homens,2049,0.005088292896027262,0.004188014091061614,0.006182100640735551
Acre,50-54,Homens,2050,0.005029388562850002,0.004119510102313928,0.006140232379068168
Acre,50-54,Homens,2051,0.004971166132333994,0.004052141505602507,0.006098625302472021
Acre,50-54,Homens,2052,0.004913617710471887,0.003985888227704708,0.006057279488382998
Acre,50-54,Homens,2053,0.004856735494640857,0.003920730676623808,0.006016194839788428
Acre,50-54,Homens,2054,0.004800511772544682,0.003856649715803452,0.005975371106146508
Acre,50-54,Homens,2055,0.004744938921168117,0.0037936266411915877,0.0059348079015346155
Acre,50-54,Homens,2056,0.004690009405743312,0.0037316431607328634,0.0058945047204462305
Acre,50-54,Homens,2057,0.0046357157787282315,0.0036706813759400303,0.0058544609515846415
Acre,50-54,Homens,2058,0.004582050678796875,0.0036107237652528924,0.005814675889943749
Acre,50-54,Homens,2059,0.004529006829841228,0.0035517531689406422,0.005775148747418858
Acre,50-54,Homens,2060,0.004476577039984723,0.0034937527753421895,0.005735878662151654
Acre,50-54,Homens,2061,0.004424754200607133,0.0034367061082710908,0.005696864706781642
Acre,50-54,Homens,2062,0.004373531285380779,0.00338059701543802,0.0056581058957499205
Acre,50-54,Homens,2063,0.004322901349317861,0.003325409657765677,0.005619601191779241
Acre,50-54,Homens,2064,0.0042728575278288385,0.0032711284994892884,0.005581349511636127
Acre,50-54,Homens,2065,0.0042233930357916906,0.0032177382989512222,0.005543349731265435
Acre,50-54,Homens,2066,0.0041745011666319875,0.0031652241000109473,0.0055056006903749935
Acre,50-54,Homens,2067,0.0041261752914135705,0.0031135712240025508,0.005468101196537115
Acre,50-54,Homens,2068,0.004078408857939788,0.003062765262181067,0.0054308500288646555
Acre,50-54,Homens,2069,0.00403119538986511,0.0030127920686067004,0.005393845941311496
Acre,50-54,Homens,2070,0.003984528485817062,0.0029636377534226007,0.005357087665640795
Acre,55-59,Homens,2024,0.011530398887136932,0.011383834318499514,0.011678850445006527
Acre,55-59,Homens,2025,0.011505927793586614,0.01134866019391467,0.011665374778092005
Acre,55-59,Homens,2026,0.011481508635309775,0.011313735609583115,0.011651769591560251
Acre,55-59,Homens,2027,0.01145714130208361,0.011279033178983815,0.011638061944927839
Acre,55-59,Homens,2028,0.011432825683919238,0.011244531947827562,0.011624272466417448
Acre,55-59,Homens,2029,0.011408561671061211,0.011210215546189792,0.01161041720082224
Acre,55-59,Homens,2030,0.011384349153987002,0.011176070955186112,0.01159650884282762
Acre,55-59,Homens,2031,0.011360188023406558,0.011142087658724454,0.011582557585256335
Acre,55-59,Homens,2032,0.011336078170261743,0.011108257044980833,0.011568571717589984
Acre,55-59,Homens,2033,0.011312019485725888,0.011074571974646289,0.011554558057719351
Acre,55-59,Homens,2034,0.011288011861203285,0.011041026463412193,0.011540522269456416
Acre,55-59,Homens,2035,0.011264055188328698,0.011007615444466086,0.011526469100035755
Acre,55-59,Homens,2036,0.011240149358966884,0.010974334588134311,0.011512402560469247
Acre,55-59,Homens,2037,0.011216294265212088,0.010941180163058579,0.011498326064366802
Acre,55-59,Homens,2038,0.01119248979938757,0.010908148928034137,0.01148424253609555
Acre,55-59,Homens,2039,0.011168735854045111,0.010875238046803671,0.011470154495983199
Acre,55-59,Homens,2040,0.01114503232196452,0.010842445020258362,0.011456064128114358
Acre,55-59,Homens,2041,0.011121379096153192,0.010809767631992625,0.011441973334773132
Acre,55-59,Homens,2042,0.011097776069845565,0.010777203904212534,0.01142788378053204
Acre,55-59,Homens,2043,0.011074223136502673,0.010744752061750391,0.011413796928234797
Acre,55-59,Homens,2044,0.011050720189811663,0.010712410502483425,0.011399714068575022
Acre,55-59,Homens,2045,0.011027267123685307,0.010680177772853969,0.011385636344573371
Acre,55-59,Homens,2046,0.01100386383226153,0.010648052547485298,0.011371564771959122
Acre,55-59,Homens,2047,0.010980510209902927,0.010616033612109088,0.011357500256240084
Acre,55-59,Homens,2048,0.01095720615119629,0.010584119849188717,0.011343443607076736
Acre,55-59,Homens,2049,0.010933951550952132,0.01055231022575095,0.011329395550447877
Acre,55-59,Homens,2050,0.010910746304204197,0.010520603783037423,0.011315356738996604
Acre,55-59,Homens,2051,0.010887590306209035,0.010488999627663934,0.01130132776086842
Acre,55-59,Homens,2052,0.010864483452445457,0.010457496924035756,0.011287309147293376
Acre,55-59,Homens,2053,0.010841425638614116,0.010426094887814184,0.01127330137911692
Acre,55-59,Homens,2054,0.010818416760637023,0.010394792780267217,0.011259304892446675
Acre,55-59,Homens,2055,0.010795456714657066,0.010363589903367014,0.011245320083552439
