regiao,Faixa_Etaria,taxa,ano,previsto,lmt_inf,lmt_max
Ceará,5-9,Ambos,2046,5.9889985591695566e-5,1.0042213830774074e-5,3.57173272210339e-4
Ceará,5-9,Ambos,2047,5.7234788946736284e-5,9.05505013133447e-6,3.6176730313636354e-4
Ceará,5-9,Ambos,2048,5.469730929826231e-5,8.166492528416553e-6,3.6635013551526154e-4
Ceará,5-9,Ambos,2049,5.2272327714075986e-5,7.366415386848414e-6,3.7092616980655596e-4
Ceará,5-9,Ambos,2050,4.995485664108466e-5,6.6457843347594405e-6,3.7549935061527185e-4
Ceará,5-9,Ambos,2051,4.774012964720771e-5,5.996528538274175e-6,3.800732314013362e-4
Ceará,5-9,Ambos,2052,4.5623591618072444e-5,5.4114299942869745e-6,3.846510283474371e-4
Ceará,5-9,Ambos,2053,4.360088938833446e-5,4.884027143534311e-6,3.8923566548364804e-4
Ceará,5-9,Ambos,2054,4.166786278835479e-5,4.408530622421667e-6,3.9382981270876124e-4
Ceará,5-9,Ambos,2055,3.982053608781866e-5,3.979749371685445e-6,3.984359180009694e-4
Ceará,5-9,Ambos,2056,3.8055109818697756e-5,3.593025632938432e-6,4.0305623484483515e-4
Ceará,5-9,Ambos,2057,3.636795296073761e-5,3.2441776119349384e-6,4.0769284569643543e-4
Ceará,5-9,Ambos,2058,3.475559547339874e-5,2.9294487855860503e-6,4.1234768214897416e-4
Ceará,5-9,Ambos,2059,3.32147211588902e-5,2.645462989801507e-6,4.170225423360035e-4
Ceará,5-9,Ambos,2060,3.174216084161785e-5,2.3891845556316383e-6,4.2171910601052916e-4
Ceará,5-9,Ambos,2061,3.0334885850018842e-5,2.1578828683071784e-6,4.2643894765963676e-4
Ceará,5-9,Ambos,2062,2.8990001787375798e-5,1.9491008124617173e-6,4.3118354795132393e-4
Ceará,5-9,Ambos,2063,2.7704742578799914e-5,1.7606266407703583e-6,4.359543037595561e-4
Ceará,5-9,Ambos,2064,2.6476464782137858e-5,1.5904688653069494e-6,4.4075253697248426e-4
Ceará,5-9,Ambos,2065,2.5302642151102477e-5,1.4368338233383299e-6,4.4557950225535236e-4
Ceará,5-9,Ambos,2066,2.418086043944469e-5,1.2981056137879321e-6,4.504363939122632e-4
Ceará,5-9,Ambos,2067,2.310881243548015e-5,1.1728281385995278e-6,4.553243519684582e-4
Ceará,5-9,Ambos,2068,2.2084293216758115e-5,1.0596890158228926e-6,4.602444675761939e-4
Ceará,5-9,Ambos,2069,2.1105195615112272e-5,9.575051593176256e-7,4.6519778783186196e-4
Ceará,5-9,Ambos,2070,2.016950588276701e-5,8.652098442514062e-7,4.7018532007914345e-4
Ceará,10-14,Ambos,2024,2.8782144447797754e-4,2.5485798844611043e-4,3.2504840992616705e-4
Ceará,10-14,Ambos,2025,2.819787933033629e-4,2.3657577733575148e-4,3.360954395596307e-4
Ceará,10-14,Ambos,2026,2.762547454274357e-4,2.2185964244464512e-4,3.43986330863301e-4
Ceará,10-14,Ambos,2027,2.706468932543917e-4,2.090954182557238e-4,3.503172926470805e-4
Ceará,10-14,Ambos,2028,2.65152878061581e-4,1.976569533799587e-4,3.556973207473733e-4
Ceará,10-14,Ambos,2029,2.597703890074081e-4,1.8722086840287252e-4,3.604334045703247e-4
Ceará,10-14,Ambos,2030,2.5449716215936304e-4,1.7759256914655927e-4,3.6470447980128283e-4
Ceará,10-14,Ambos,2031,2.493309795417914e-4,1.6864285880937847e-4,3.6862478374810343e-4
Ceará,10-14,Ambos,2032,2.4426966820298576e-4,1.6027977712859123e-4,3.7227198510593067e-4
Ceará,10-14,Ambos,2033,2.393110993012231e-4,1.5243436270932165e-4,3.7570139193593844e-4
Ceará,10-14,Ambos,2034,2.3445318720934725e-4,1.4505276009988885e-4,3.789538162167201e-4
Ceará,10-14,Ambos,2035,2.2969388863753546e-4,1.3809152944161765e-4,3.820602370816526e-4
Ceará,10-14,Ambos,2036,2.2503120177386532e-4,1.3151470297004023e-4,3.8504471840936327e-4
Ceará,10-14,Ambos,2037,2.2046316544233472e-4,1.252918543233707e-4,3.8792631475794266e-4
Ceará,10-14,Ambos,2038,2.1598785827796671e-4,1.1939678483859748e-4,3.907203614114592e-4
Ceará,10-14,Ambos,2039,2.1160339791866635e-4,1.1380660142633143e-4,3.9343937389879375e-4
Ceará,10-14,Ambos,2040,2.073079402134756e-4,1.0850105170637357e-4,3.960936912561691e-4
Ceará,10-14,Ambos,2041,2.0309967844690704e-4,1.0346203323951775e-4,3.986919461532641e-4
Ceará,10-14,Ambos,2042,1.989768425790168e-4,9.867322364421893e-5,0.00040124141505165503
Ceará,10-14,Ambos,2043,1.9493769850090984e-4,9.411979656785829e-5,4.037482833851426e-4
Ceará,10-14,Ambos,2044,1.9098054730535232e-4,8.978819986825872e-5,4.0621784936737353e-4
Ceará,10-14,Ambos,2045,1.871037245721958e-4,8.56659796898607e-5,4.0865468270517597e-4
Ceará,10-14,Ambos,2046,1.833055996683016e-4,8.174163895216607e-5,4.110627496644445e-4
Ceará,10-14,Ambos,2047,1.7958457506168164e-4,7.800452202528204e-5,4.134455126797901e-4
Ceará,10-14,Ambos,2048,1.7593908564955696e-4,7.444471960560295e-5,4.1580601046245865e-4
Ceará,10-14,Ambos,2049,1.7236759810006108e-4,7.105298936991576e-5,4.181469229972158e-4
Ceará,10-14,Ambos,2050,1.6886861020730184e-4,6.782068909842296e-5,4.2047062470806934e-4
Ceará,10-14,Ambos,2051,1.6544065025951967e-4,6.473971975906927e-5,4.2277922827212226e-4
Ceará,10-14,Ambos,2052,1.620822764200688e-4,6.180247663147007e-5,4.250746209761833e-4
Ceará,10-14,Ambos,2053,1.587920761209647e-4,5.900180698214431e-5,4.273584950785838e-4
Ceará,10-14,Ambos,2054,1.555686654687447e-4,5.6330973127000725e-5,4.2963237331552183e-4
Ceará,10-14,Ambos,2055,1.5241068866238543e-4,5.378361996218854e-5,4.3189763044721206e-4
Ceará,10-14,Ambos,2056,1.4931681742304056e-4,5.1353746231608334e-5,4.341555115529759e-4
Ceará,10-14,Ambos,2057,1.4628575043535027e-4,4.903567894362204e-5,4.3640714764115666e-4
Ceará,10-14,Ambos,2058,1.4331621280009639e-4,4.682405046161347e-5,4.386535690286107e-4
Ceará,10-14,Ambos,2059,1.4040695549796388e-4,4.4713777880894874e-5,4.408957168575684e-4
Ceará,10-14,Ambos,2060,1.375567548641921e-4,4.2700044373815624e-5,4.4313445304920175e-4
Ceará,10-14,Ambos,2061,1.3476441207388613e-4,4.077828224009237e-5,4.4537056893888136e-4
Ceará,10-14,Ambos,2062,1.3202875263778046e-4,3.894415744355415e-5,4.476047927947503e-4
Ceará,10-14,Ambos,2063,1.2934862590823398e-4,3.719355545210132e-5,4.498377963863904e-4
Ceará,10-14,Ambos,2064,1.2672290459525738e-4,3.5522568226558474e-5,4.5207020074219733e-4
Ceará,10-14,Ambos,2065,1.2415048429236094e-4,3.3927482227667746e-5,4.5430258121123557e-4
Ceará,10-14,Ambos,2066,1.2163028301203125e-4,3.2404767329807845e-5,4.5653547192664044e-4
Ceará,10-14,Ambos,2067,1.1916124073063378e-4,3.095106654598495e-5,4.587693697523337e-4
Ceará,10-14,Ambos,2068,1.1674231894255747e-4,2.9563186481882594e-5,4.610047377821741e-4
Ceará,10-14,Ambos,2069,1.1437250022340633e-4,2.823808844779892e-5,4.6324200845021123e-4
Ceará,10-14,Ambos,2070,1.120507878020616e-4,2.697288016655675e-5,4.654815863020009e-4
Ceará,15-19,Ambos,2024,0.0018937358810684497,0.0021759417456525204,0.0016481303299646284
Ceará,15-19,Ambos,2025,0.0019386132093876973,0.0023690101847137516,0.0015864098853870378
Ceará,15-19,Ambos,2026,0.0019845540305716085,0.002549297481577503,0.0015449176601472607
Ceará,15-19,Ambos,2027,0.002031583547035648,0.002727780345738706,0.0015130733363606763
Ceará,15-19,Ambos,2028,0.0020797275584364676,0.002908787949555966,0.0014869652901238037
Ceará,15-19,Ambos,2029,0.002129012475825202,0.0030946813004756224,0.001464672346558827
Ceará,15-19,Ambos,2030,0.0021794653361361526,0.0032870186756675736,0.001445099532467476
Ceará,15-19,Ambos,2031,0.0022311138170188287,0.0034869735375392613,0.0014275614113220896
Ceará,15-19,Ambos,2032,0.0022839862520214714,0.0036955178974527442,0.00141160003663324
Ceará,15-19,Ambos,2033,0.0023381116461343955,0.003913514285548274,0.001396894369333677
Ceará,15-19,Ambos,2034,0.002393519691701673,0.004141766653895809,0.0013832108356889087
Ceará,15-19,Ambos,2035,0.0024502407847098915,0.004381050848217702,0.0013703743944214104
Ceará,15-19,Ambos,2036,0.0025083060414629065,0.004632134107871615,0.001358250657498817
Ceará,15-19,Ambos,2037,0.0025677473156517725,0.004895788317113992,0.0013467343459252277
