regiao,faixa_etaria,taxa,RMSE_LC,RMSE_LM,MAE_LC,MAE_LM,MAPE_LC,MAPE_LM
Pernambuco,5-9,Homens,7.097556360808427e-5,4.3335870412814433e-5,4.8895142795045975e-5,3.056484092961185e-5,17.60266305564893,10.883295556474023
Pernambuco,10-14,Homens,9.151864082141432e-5,6.488778204948027e-5,6.928403064960904e-5,4.989421577848118e-5,17.814428138651092,12.457717469479688
Pernambuco,15-19,Homens,3.0812371760866524e-4,2.5187820219020217e-4,2.425903005057926e-4,2.0621834214475365e-4,9.888860658216426,8.421534104451807
Pernambuco,20-24,Homens,3.714222314445036e-4,2.608072540172643e-4,2.4497358746497787e-4,1.7615105862971866e-4,6.66641646865547,4.768355660508304
Pernambuco,25-29,Homens,3.671685452630077e-4,2.0681396344795873e-4,2.4632863509951115e-4,1.5381643045948442e-4,6.795425721435816,4.22188807557104
Pernambuco,30-34,Homens,3.505323405967635e-4,1.4726994546895443e-4,2.4240700212422016e-4,1.1445508484718078e-4,6.343270094811852,2.9807400534794617
Pernambuco,35-39,Homens,3.8684332517689105e-4,1.5940808949697292e-4,2.9418055832506013e-4,1.3440726785896628e-4,6.903019189568046,3.1490806926085413
Pernambuco,40-44,Homens,3.6493227973090114e-4,1.9391939349046701e-4,2.8483536715036273e-4,1.7030822620686846e-4,5.186177163157113,3.103470549496379
Pernambuco,45-49,Homens,3.3416316653262466e-4,2.0881525214264934e-4,2.553019314367656e-4,1.7810672566886216e-4,3.61359611155768,2.5627692355110634
Pernambuco,50-54,Homens,3.062322865762845e-4,4.056452875808969e-4,2.38014928560908e-4,2.6724010926712245e-4,2.3708049525936175,2.6079306188176465
Pernambuco,55-59,Homens,3.7509217856744826e-4,5.414418426846903e-4,2.4843014724922925e-4,3.2935741364344926e-4,1.8031762708003303,2.341397678513277
Pernambuco,60-64,Homens,5.343936935214346e-4,8.824743897932646e-4,3.80456151995292e-4,5.945340870175741e-4,1.915691403520273,2.9836244535629626
Pernambuco,65-69,Homens,6.933137674598648e-4,0.0012264490844871082,5.132853145016444e-4,8.051476430180732e-4,1.8096147769096276,2.8075172080285467
Pernambuco,70-74,Homens,0.0016228389051640261,0.002368489649756716,0.0010528761398533257,0.0015917959171129223,2.6142448931401177,3.9915403298912273
Pernambuco,75-79,Homens,0.001163065457830844,0.0022200937266730818,7.275446451346718e-4,0.0014340961398591123,1.1679030541579687,2.352841263507446
Pernambuco,80-84,Homens,0.0018773016821894554,0.002545596005795545,0.0014601133580344709,0.0017309774276818516,1.5790939874140288,1.882885946741119
Pernambuco,85-89,Homens,0.005739740179609868,0.006169070438214402,0.004641330401669235,0.005055857976571432,3.299566267568603,3.603975271825809
Pernambuco,90+,Homens,0.019306359892132224,0.018526590427806508,0.013048118086600374,0.012465914721327883,5.954767767571631,5.688875657309931
Alagoas,0,Homens,0.01082643928621857,0.005409548788628878,0.007512593140028955,0.0047510499075680435,42.816562963769215,25.269032405726545
Alagoas,1-4,Homens,3.804487606359106e-4,2.1544679253516054e-4,2.636800455037609e-4,1.8034700046667718e-4,39.79024847483286,25.385031826989163
Alagoas,5-9,Homens,1.27724231082059e-4,5.737047565281616e-5,9.629182879579853e-5,4.463948508271675e-5,28.59155790296734,12.650187174904149
Alagoas,10-14,Homens,1.2907674095122778e-4,7.423628633579509e-5,1.083268752772041e-4,6.402480041832597e-5,22.728260164988082,13.158574567550744
Alagoas,15-19,Homens,8.264513194167454e-4,7.515920234030918e-4,6.398885042962559e-4,6.512521915857962e-4,23.957972998185994,23.733607495309485
Alagoas,20-24,Homens,7.430566458527416e-4,7.358891125037508e-4,6.32804668738419e-4,6.451125522495678e-4,15.278246143644896,15.469890281223847
Alagoas,25-29,Homens,5.500385883274672e-4,5.461115813837628e-4,4.8589064080135767e-4,4.818596815363905e-4,12.239057613656035,12.171871040158006
Alagoas,30-34,Homens,0.00050954233909694625,3.593973650441955e-4,4.519271886128837e-4,3.201742558916946e-4,11.097046077518783,7.710489046289226
