Localidade,cod_IBGE,Código DataSUS,Ano,Taxa
Jaru,1100114,110011,2020,10.09
Jaru,1100114,110011,2021,14.13
Jaru,1100114,110011,2022,13.48
Jaru,1100114,110011,2023,11.17
Ji-Paraná,1100122,110012,1996,24.2
Ji-Paraná,1100122,110012,1997,19.79
Ji-Paraná,1100122,110012,1998,30.07
Ji-Paraná,1100122,110012,1999,28.9
Ji-Paraná,1100122,110012,2000,28.64
Ji-Paraná,1100122,110012,2001,25.88
Ji-Paraná,1100122,110012,2002,13.72
Ji-Paraná,1100122,110012,2003,19.52
Ji-Paraná,1100122,110012,2004,20.12
Ji-Paraná,1100122,110012,2005,23.02
Ji-Paraná,1100122,110012,2006,15.54
Ji-Paraná,1100122,110012,2007,19.99
Ji-Paraná,1100122,110012,2008,13.62
Ji-Paraná,1100122,110012,2009,22.81
Ji-Paraná,1100122,110012,2010,29.97
Ji-Paraná,1100122,110012,2011,13.12
Ji-Paraná,1100122,110012,2012,12.05
Ji-Paraná,1100122,110012,2013,15.22
Ji-Paraná,1100122,110012,2014,12.78
Ji-Paraná,1100122,110012,2015,15.76
Ji-Paraná,1100122,110012,2016,10.12
Ji-Paraná,1100122,110012,2017,11.22
Ji-Paraná,1100122,110012,2018,17.12
Ji-Paraná,1100122,110012,2019,11.46
Ji-Paraná,1100122,110012,2020,11.25
Ji-Paraná,1100122,110012,2021,9.13
Ji-Paraná,1100122,110012,2022,10.45
Ji-Paraná,1100122,110012,2023,8.88
Machadinho D'Oeste,1100130,110013,1996,17.17
Machadinho D'Oeste,1100130,110013,1997,31.96
Machadinho D'Oeste,1100130,110013,1998,22.68
Machadinho D'Oeste,1100130,110013,1999,29.59
Machadinho D'Oeste,1100130,110013,2000,20.0
Machadinho D'Oeste,1100130,110013,2001,23.66
Machadinho D'Oeste,1100130,110013,2002,13.79
Machadinho D'Oeste,1100130,110013,2003,24.47
Machadinho D'Oeste,1100130,110013,2004,19.15
Machadinho D'Oeste,1100130,110013,2005,10.56
Machadinho D'Oeste,1100130,110013,2006,12.93
Machadinho D'Oeste,1100130,110013,2007,5.19
Machadinho D'Oeste,1100130,110013,2008,21.81
Machadinho D'Oeste,1100130,110013,2009,16.26
Machadinho D'Oeste,1100130,110013,2010,11.98
